transaction_id,customer_id,branch_id,transaction_date,transaction_type,channel,amount,status,is_fraud_flag,currency
ACB-TXN00000028,ACB-C003830,ACB-BR012,2025-01-14,ATM Withdrawal,Mobile App,200.0,Pending,0,USD
ACB-TXN00000029,ACB-C012734,ACB-BR058,2025-06-10,Direct Deposit,Telephone,4316.66,Completed,0,USD
ACB-TXN00000030,ACB-C007359,ACB-BR065,2024-01-19,POS Purchase,Mobile App,125.5,Completed,0,USD
ACB-TXN00000031,ACB-C012771,ACB-BR003,2023-09-09,POS Purchase,Mobile App,195.6,Completed,0,USD
ACB-TXN00000032,ACB-C014004,ACB-BR051,2025-05-18,Withdrawal,Mobile App,138.35,Completed,0,USD
ACB-TXN00000033,ACB-C009520,ACB-BR033,2026-02-17,ATM Withdrawal,Branch,40.0,Completed,0,USD
ACB-TXN00000034,ACB-C008937,ACB-BR052,2024-03-15,ATM Withdrawal,Telephone,60.0,Completed,0,USD
ACB-TXN00000035,ACB-C012054,ACB-BR031,2024-02-21,Deposit,ATM,1096.84,Completed,0,USD
ACB-TXN00000036,ACB-C003826,ACB-BR067,2025-02-02,Direct Deposit,Mobile App,2002.96,Completed,0,USD
ACB-TXN00000037,ACB-C013678,ACB-BR036,2025-09-17,Transfer,,1817.64,Completed,0,USD
ACB-TXN00000038,ACB-C006012,ACB-BR073,2025-04-29,Withdrawal,ATM,166.66,Reversed,0,USD
ACB-TXN00000039,ACB-C012627,ACB-BR059,2025-04-29,Wire Transfer,Online Banking,10423.28,Failed,0,USD
ACB-TXN00000040,ACB-C013989,ACB-BR052,2025-11-08,Transfer,ATM,5021.76,Completed,0,USD
ACB-TXN00000041,ACB-C013637,ACB-BR033,2023-04-21,POS Purchase,Branch,43.24,Completed,0,USD
ACB-TXN00000042,ACB-C005849,ACB-BR001,2026-02-21,Deposit,Branch,949.65,Completed,0,USD
ACB-TXN00000043,ACB-C009438,ACB-BR013,2024-12-30,Bill Payment,Branch,231.69,Completed,0,USD
ACB-TXN00000044,ACB-C009551,ACB-BR007,2023-01-16,Bill Payment,Mobile App,258.3,Completed,0,USD
ACB-TXN00000045,ACB-C004796,ACB-BR046,2024-09-09,Transfer,Telephone,825.87,Completed,0,USD
ACB-TXN00000046,ACB-C000479,ACB-BR005,2023-07-07,Transfer,Online Banking,945.61,Completed,0,USD
ACB-TXN00000047,ACB-C009815,ACB-BR014,2023-03-03,Bill Payment,ATM,123.85,Completed,0,USD
ACB-TXN00000048,ACB-C014554,ACB-BR034,2025-10-26,Bill Payment,Online Banking,429.75,Completed,0,USD
ACB-TXN00000049,ACB-C007157,ACB-BR056,2025-05-04,POS Purchase,Telephone,88.1,Completed,0,USD
ACB-TXN00000050,ACB-C001063,ACB-BR021,2023-04-15,POS Purchase,ATM,61.69,Completed,0,USD
ACB-TXN00000051,ACB-C001150,ACB-BR027,2024-08-24,Transfer,Branch,440.95,Completed,0,USD
ACB-TXN00000052,ACB-C007220,ACB-BR014,2024-02-16,Withdrawal,Online Banking,258.15,Completed,0,USD
ACB-TXN00000053,ACB-C014969,ACB-BR005,2023-06-12,Transfer,Mobile App,213.41,Completed,0,USD
ACB-TXN00000054,ACB-C010615,ACB-BR073,2025-08-28,ATM Withdrawal,Mobile App,500.0,Reversed,0,USD
ACB-TXN00000055,ACB-C011975,ACB-BR047,2023-07-01,POS Purchase,Online Banking,59.97,Completed,0,USD
ACB-TXN00000056,ACB-C003384,ACB-BR027,2025-01-28,POS Purchase,Telephone,32.49,Completed,0,USD
ACB-TXN00000057,ACB-C003784,ACB-BR033,2024-11-06,POS Purchase,Mobile App,18.07,Completed,0,USD
ACB-TXN00000058,ACB-C000189,ACB-BR066,2025-08-23,ATM Withdrawal,Mobile App,40.0,Completed,0,USD
ACB-TXN00000059,ACB-C014022,ACB-BR001,2026-02-19,Deposit,Branch,226.32,Completed,0,USD
ACB-TXN00000060,ACB-C011112,ACB-BR049,2024-10-19,Transfer,Online Banking,153.52,Completed,1,USD
ACB-TXN00000061,ACB-C007718,ACB-BR048,2023-11-21,Direct Deposit,Online Banking,1943.13,Completed,0,USD
ACB-TXN00000062,ACB-C012419,ACB-BR027,2023-07-11,ATM Withdrawal,ATM,100.0,Completed,0,USD
ACB-TXN00000063,ACB-C003855,ACB-BR073,2026-03-31,Bill Payment,Mobile App,389.45,Completed,0,USD
ACB-TXN00000064,ACB-C001381,ACB-BR044,2025-07-24,Bill Payment,ATM,313.14,Completed,0,USD
ACB-TXN00000065,ACB-C009191,ACB-BR015,2024-04-19,Withdrawal,Online Banking,390.99,Completed,0,USD
ACB-TXN00000066,ACB-C014038,ACB-BR045,2024-04-01,Deposit,Mobile App,430.47,Completed,0,USD
ACB-TXN00000067,ACB-C007815,ACB-BR072,2025-03-11,Deposit,Mobile App,1257.68,Completed,0,USD
ACB-TXN00000068,ACB-C010719,ACB-BR006,2026-02-12,Wire Transfer,ATM,10117.32,Completed,0,USD
ACB-TXN00000069,ACB-C005769,ACB-BR080,2025-02-24,Transfer,Mobile App,212.29,Completed,0,USD
ACB-TXN00000070,ACB-C005028,ACB-BR010,2023-04-05,ATM Withdrawal,Online Banking,60.0,Completed,0,USD
ACB-TXN00000071,ACB-C002058,ACB-BR003,2024-05-11,POS Purchase,Branch,14.55,Completed,0,USD
ACB-TXN00000072,ACB-C009394,ACB-BR011,2023-05-21,Bill Payment,Online Banking,508.14,Completed,0,USD
ACB-TXN00000073,ACB-C006678,ACB-BR042,2025-05-10,Deposit,Mobile App,142.82,Completed,0,USD
ACB-TXN00000074,ACB-C008022,ACB-BR050,2023-03-15,Withdrawal,Online Banking,74.42,Completed,0,USD
ACB-TXN00000075,ACB-C012362,ACB-BR025,2025-12-08,Deposit,Branch,2913.23,Completed,0,USD
ACB-TXN00000076,ACB-C009646,ACB-BR046,2026-03-25,Withdrawal,ATM,99.78,Completed,0,USD
ACB-TXN00000077,ACB-C008262,ACB-BR046,2025-11-26,ATM Withdrawal,Mobile App,300.0,Completed,0,USD
ACB-TXN00000078,ACB-C001527,ACB-BR045,2025-11-02,Deposit,Branch,73.82,Completed,0,USD
ACB-TXN00000079,ACB-C008952,ACB-BR062,2026-01-23,Bill Payment,Telephone,563.01,Completed,0,USD
ACB-TXN00000080,ACB-C007499,ACB-BR034,2024-12-18,Bill Payment,ATM,181.14,Completed,0,USD
ACB-TXN00000081,ACB-C007214,ACB-BR016,2023-02-20,Direct Deposit,ATM,2274.64,Pending,0,USD
ACB-TXN00000082,ACB-C002947,ACB-BR018,2023-06-30,Deposit,Mobile App,182.84,Completed,0,USD
ACB-TXN00000083,ACB-C001853,ACB-BR038,2023-03-10,Transfer,Online Banking,281.52,Completed,0,USD
ACB-TXN00000084,ACB-C010982,ACB-BR026,2025-01-24,POS Purchase,Branch,59.17,Completed,0,USD
ACB-TXN00000085,ACB-C003693,ACB-BR064,2025-01-31,Withdrawal,Mobile App,311.26,Completed,0,USD
ACB-TXN00000086,ACB-C002874,ACB-BR023,2026-02-04,POS Purchase,,34.98,Completed,0,USD
ACB-TXN00000087,ACB-C003886,ACB-BR022,2024-02-08,Transfer,Online Banking,1360.44,Completed,0,USD
ACB-TXN00000088,ACB-C009645,ACB-BR054,2023-06-10,Withdrawal,Online Banking,105.37,Completed,0,USD
ACB-TXN00000089,ACB-C003679,ACB-BR063,2023-07-10,Deposit,Mobile App,485.22,Pending,0,USD
ACB-TXN00000090,ACB-C000950,ACB-BR074,2023-08-10,Direct Deposit,Branch,2157.67,Completed,0,USD
ACB-TXN00000091,ACB-C004234,ACB-BR069,2025-01-26,Deposit,Online Banking,1100.05,Completed,0,USD
ACB-TXN00000092,ACB-C007629,ACB-BR061,2024-02-24,Withdrawal,Online Banking,60.98,Completed,0,USD
ACB-TXN00000093,ACB-C010506,ACB-BR074,2023-12-21,Deposit,Branch,1599.82,Completed,0,USD
ACB-TXN00000094,ACB-C012383,ACB-BR051,2023-03-31,ATM Withdrawal,Online Banking,40.0,Completed,0,USD
ACB-TXN00000095,ACB-C000693,ACB-BR068,2023-11-28,Bill Payment,Mobile App,310.96,Completed,0,USD
ACB-TXN00000096,ACB-C009334,ACB-BR077,2025-04-11,Wire Transfer,Telephone,910.04,Completed,0,USD
ACB-TXN00000097,ACB-C004892,ACB-BR045,2024-08-06,Deposit,Mobile App,218.97,Completed,0,USD
ACB-TXN00000098,ACB-C014233,ACB-BR078,2023-04-10,Transfer,Mobile App,2642.79,Completed,0,USD
ACB-TXN00000099,ACB-C000656,ACB-BR041,2023-03-09,Bill Payment,Mobile App,339.56,Completed,0,USD
ACB-TXN00000100,ACB-C001889,ACB-BR005,2024-01-24,POS Purchase,Mobile App,97.67,Completed,0,USD
ACB-TXN00000101,ACB-C011060,ACB-BR037,2024-05-01,Transfer,Online Banking,1330.56,Completed,0,USD
ACB-TXN00000102,ACB-C003552,ACB-BR029,2024-03-20,ATM Withdrawal,Telephone,80.0,Completed,0,USD
ACB-TXN00000103,ACB-C011732,ACB-BR023,2026-03-14,Bill Payment,Mobile App,165.44,Completed,0,USD
ACB-TXN00000104,ACB-C007484,ACB-BR080,2025-06-06,Bill Payment,Online Banking,190.09,Completed,0,USD
ACB-TXN00000105,ACB-C001697,ACB-BR023,2024-05-12,Deposit,Online Banking,2474.45,Completed,0,USD
ACB-TXN00000106,ACB-C009299,ACB-BR027,2025-10-20,Bill Payment,Online Banking,427.26,Pending,0,USD
ACB-TXN00000107,ACB-C009513,ACB-BR049,2023-03-29,Bill Payment,Online Banking,340.56,Completed,0,USD
ACB-TXN00000108,ACB-C010136,ACB-BR052,2024-01-14,Transfer,Telephone,2526.49,Completed,0,USD
ACB-TXN00000109,ACB-C010109,ACB-BR021,2023-01-05,POS Purchase,Mobile App,128.67,Completed,0,USD
ACB-TXN00000110,ACB-C013876,ACB-BR073,2024-04-28,POS Purchase,Online Banking,59.53,Completed,0,USD
ACB-TXN00000111,ACB-C011809,ACB-BR039,2026-01-17,Deposit,Branch,4079.23,Completed,0,USD
ACB-TXN00000112,ACB-C006849,ACB-BR052,2026-02-21,Bill Payment,Mobile App,157.39,Completed,0,USD
ACB-TXN00000113,ACB-C003814,ACB-BR062,2025-07-05,Direct Deposit,Mobile App,3103.31,Completed,0,USD
ACB-TXN00000114,ACB-C005388,ACB-BR038,2025-11-28,Deposit,Online Banking,1998.73,Reversed,0,USD
ACB-TXN00000115,ACB-C011875,ACB-BR008,2023-12-14,Transfer,ATM,252.48,Completed,0,USD
ACB-TXN00000116,ACB-C004580,ACB-BR079,2023-05-09,Withdrawal,Online Banking,254.86,Completed,0,USD
ACB-TXN00000117,ACB-C008888,ACB-BR016,2026-02-20,Deposit,Branch,719.54,Reversed,0,USD
ACB-TXN00000118,ACB-C006021,ACB-BR008,2025-12-26,Bill Payment,Online Banking,431.98,Completed,0,USD
ACB-TXN00000119,ACB-C004865,ACB-BR016,2024-03-08,ATM Withdrawal,Mobile App,80.0,Completed,0,USD
ACB-TXN00000120,ACB-C013914,ACB-BR014,2025-12-17,Deposit,Mobile App,1718.65,Completed,0,USD
ACB-TXN00000121,ACB-C001359,ACB-BR068,2024-08-31,Bill Payment,Mobile App,204.44,Completed,0,USD
ACB-TXN00000122,ACB-C012018,ACB-BR010,2024-08-03,Deposit,Online Banking,442.74,Completed,0,USD
ACB-TXN00000123,ACB-C014013,ACB-BR069,2025-07-10,Withdrawal,Online Banking,113.58,Failed,0,USD
ACB-TXN00000124,ACB-C011314,ACB-BR078,2025-11-30,Withdrawal,Mobile App,85.67,Completed,0,USD
ACB-TXN00000125,ACB-C007976,ACB-BR022,2023-07-23,POS Purchase,Mobile App,266.84,Completed,0,USD
ACB-TXN00000126,ACB-C014443,ACB-BR022,2025-04-24,Transfer,Mobile App,2088.04,Completed,0,USD
ACB-TXN00000127,ACB-C014553,ACB-BR005,2025-07-16,POS Purchase,Online Banking,92.62,Completed,0,USD
ACB-TXN00000128,ACB-C005260,ACB-BR080,2025-06-04,Withdrawal,Branch,16.43,Completed,0,USD
ACB-TXN00000129,ACB-C014824,ACB-BR059,2025-04-07,Withdrawal,Mobile App,1047.39,Completed,0,USD
ACB-TXN00000130,ACB-C010819,ACB-BR017,2024-05-23,Withdrawal,Online Banking,609.83,Completed,0,USD
ACB-TXN00000131,ACB-C008703,ACB-BR066,2024-07-13,POS Purchase,Branch,34.24,Completed,0,USD
ACB-TXN00000132,ACB-C002733,ACB-BR067,2023-10-04,Deposit,,261.35,Completed,0,USD
ACB-TXN00000133,ACB-C000237,ACB-BR075,2023-01-17,Deposit,Branch,285.32,Completed,0,USD
ACB-TXN00000134,ACB-C002067,ACB-BR045,2026-01-18,Bill Payment,Branch,300.22,Completed,0,USD
ACB-TXN00000135,ACB-C014093,ACB-BR025,2024-04-21,Deposit,Branch,116.69,Completed,0,USD
ACB-TXN00000136,ACB-C003545,ACB-BR001,2024-09-04,POS Purchase,ATM,22.37,Completed,0,USD
ACB-TXN00000137,ACB-C012515,ACB-BR036,2025-11-15,Transfer,Mobile App,201.38,Completed,0,USD
ACB-TXN00000138,ACB-C014252,ACB-BR034,2023-07-09,Withdrawal,Mobile App,1144.06,Completed,0,USD
ACB-TXN00000139,ACB-C009712,ACB-BR030,2024-01-16,Withdrawal,Online Banking,191.8,Completed,0,USD
ACB-TXN00000140,ACB-C010506,ACB-BR011,2024-08-25,Deposit,ATM,574.71,Completed,0,USD
ACB-TXN00000141,ACB-C003031,ACB-BR050,2024-01-17,Bill Payment,Mobile App,567.09,Completed,0,USD
ACB-TXN00000142,ACB-C014388,ACB-BR020,2025-04-08,Deposit,Mobile App,514.41,Completed,0,USD
ACB-TXN00000143,ACB-C012704,ACB-BR079,2025-06-09,Bill Payment,Telephone,485.01,Completed,0,USD
ACB-TXN00000144,ACB-C006605,ACB-BR048,2024-08-21,ATM Withdrawal,Mobile App,80.0,Failed,0,USD
ACB-TXN00000145,ACB-C014536,ACB-BR043,2025-09-11,POS Purchase,Mobile App,29.31,Completed,0,USD
ACB-TXN00000146,ACB-C014747,ACB-BR004,2024-07-23,Direct Deposit,Mobile App,2349.6,Completed,0,USD
ACB-TXN00000147,ACB-C009308,ACB-BR080,2023-11-01,Bill Payment,Branch,1249.42,Completed,0,USD
ACB-TXN00000148,ACB-C010856,ACB-BR018,2025-04-25,Deposit,ATM,2472.33,Completed,0,USD
ACB-TXN00000149,ACB-C013770,ACB-BR013,2024-09-20,Bill Payment,Branch,491.15,Completed,0,USD
ACB-TXN00000150,ACB-C007886,ACB-BR018,2024-07-16,ATM Withdrawal,Branch,40.0,Completed,0,USD
ACB-TXN00000151,ACB-C000149,ACB-BR028,2023-03-03,POS Purchase,Branch,22.94,Completed,0,USD
ACB-TXN00000152,ACB-C011574,ACB-BR030,2024-06-11,Transfer,Online Banking,3539.35,Completed,0,USD
ACB-TXN00000153,ACB-C013087,ACB-BR056,2025-08-06,Deposit,,2504.39,Completed,0,USD
ACB-TXN00000154,ACB-C000799,ACB-BR076,2026-02-18,Withdrawal,Online Banking,273.18,Completed,0,USD
ACB-TXN00000155,ACB-C011288,ACB-BR069,2024-02-02,Withdrawal,Branch,240.18,Completed,0,USD
ACB-TXN00000156,ACB-C012563,ACB-BR069,2023-12-07,Transfer,Online Banking,4097.04,Completed,0,USD
ACB-TXN00000157,ACB-C009056,ACB-BR041,2025-10-10,Transfer,Online Banking,651.46,Reversed,0,USD
ACB-TXN00000158,ACB-C014294,ACB-BR049,2025-06-08,POS Purchase,Telephone,58.23,Completed,0,USD
ACB-TXN00000159,ACB-C005255,ACB-BR076,2025-04-12,Deposit,Mobile App,948.56,Completed,0,USD
ACB-TXN00000160,ACB-C013560,ACB-BR025,2024-05-05,Bill Payment,Online Banking,155.65,Completed,0,USD
ACB-TXN00000161,ACB-C010587,ACB-BR035,2025-06-24,Deposit,Online Banking,634.84,Completed,0,USD
ACB-TXN00000162,ACB-C014918,ACB-BR058,2024-11-01,POS Purchase,Branch,156.55,Reversed,0,USD
ACB-TXN00000163,ACB-C009441,ACB-BR072,2025-11-27,POS Purchase,Branch,29.64,Completed,0,USD
ACB-TXN00000164,ACB-C005912,ACB-BR046,2023-07-10,Withdrawal,ATM,232.86,Completed,0,USD
ACB-TXN00000165,ACB-C001450,ACB-BR027,2026-01-30,Bill Payment,,333.48,Completed,0,USD
ACB-TXN00000166,ACB-C013579,ACB-BR046,2025-08-29,ATM Withdrawal,ATM,500.0,Completed,0,USD
ACB-TXN00000167,ACB-C000788,ACB-BR059,2025-06-27,Deposit,Online Banking,1189.72,Completed,0,USD
ACB-TXN00000168,ACB-C007314,ACB-BR029,2024-09-11,Bill Payment,Telephone,360.13,Completed,0,USD
ACB-TXN00000169,ACB-C003611,ACB-BR040,2024-07-12,Withdrawal,Mobile App,73.17,Completed,1,USD
ACB-TXN00000170,ACB-C007464,ACB-BR063,2026-03-06,Deposit,Mobile App,675.72,Completed,0,USD
ACB-TXN00000171,ACB-C001517,ACB-BR022,2023-12-12,Withdrawal,Branch,90.57,Completed,0,USD
ACB-TXN00000172,ACB-C010080,ACB-BR041,2024-09-29,Bill Payment,Branch,475.06,Completed,0,USD
ACB-TXN00000173,ACB-C006934,ACB-BR073,2025-03-05,Transfer,Online Banking,9028.24,Completed,0,USD
ACB-TXN00000174,ACB-C013088,ACB-BR064,2025-12-14,Bill Payment,Mobile App,264.93,Completed,0,USD
ACB-TXN00000175,ACB-C012333,ACB-BR009,2025-07-02,Bill Payment,Branch,645.4,Completed,0,USD
ACB-TXN00000176,ACB-C012455,ACB-BR044,2023-06-30,POS Purchase,Mobile App,65.71,Reversed,0,USD
ACB-TXN00000177,ACB-C013912,ACB-BR059,2024-09-18,Deposit,Branch,2943.1,Completed,0,USD
ACB-TXN00000178,ACB-C002192,ACB-BR006,2024-06-10,Transfer,Mobile App,1970.52,Pending,0,USD
ACB-TXN00000179,ACB-C003719,ACB-BR073,2025-02-25,Transfer,Mobile App,967.18,Completed,0,USD
ACB-TXN00000180,ACB-C002776,ACB-BR007,2024-03-20,POS Purchase,Branch,24.09,Completed,0,USD
ACB-TXN00000181,ACB-C000417,ACB-BR040,2026-03-11,ATM Withdrawal,Mobile App,100.0,Completed,0,USD
ACB-TXN00000182,ACB-C004909,ACB-BR064,2024-11-16,POS Purchase,Online Banking,40.74,Completed,0,USD
ACB-TXN00000183,ACB-C014434,ACB-BR018,2024-05-25,Deposit,Branch,1073.43,Completed,0,USD
ACB-TXN00000184,ACB-C004039,ACB-BR010,2023-07-08,Direct Deposit,Online Banking,2519.88,Completed,0,USD
ACB-TXN00000185,ACB-C001648,ACB-BR050,2024-10-31,Deposit,Telephone,298.86,Completed,0,USD
ACB-TXN00000186,ACB-C012245,ACB-BR017,2024-11-07,Transfer,Online Banking,3184.64,Completed,0,USD
ACB-TXN00000187,ACB-C013945,ACB-BR045,2025-06-14,Withdrawal,Online Banking,365.74,Completed,0,USD
ACB-TXN00000188,ACB-C012067,ACB-BR025,2025-04-06,Transfer,Mobile App,3369.55,Completed,0,USD
ACB-TXN00000189,ACB-C001747,ACB-BR067,2024-09-28,POS Purchase,Mobile App,107.14,Completed,0,USD
ACB-TXN00000190,ACB-C009564,ACB-BR007,2023-10-23,Bill Payment,ATM,413.0,Completed,0,USD
ACB-TXN00000191,ACB-C002139,ACB-BR042,2024-02-06,Wire Transfer,Mobile App,5591.04,Completed,0,USD
ACB-TXN00000192,ACB-C014099,ACB-BR073,2024-07-25,Transfer,Mobile App,272.47,Failed,0,USD
ACB-TXN00000193,ACB-C003870,ACB-BR075,2023-01-21,ATM Withdrawal,Mobile App,500.0,Completed,0,USD
ACB-TXN00000194,ACB-C004577,ACB-BR068,2023-11-09,ATM Withdrawal,Mobile App,300.0,Completed,0,USD
ACB-TXN00000195,ACB-C009462,ACB-BR039,2025-02-14,Bill Payment,Mobile App,259.21,Completed,0,USD
ACB-TXN00000196,ACB-C006194,ACB-BR009,2023-01-23,Bill Payment,ATM,380.47,Completed,0,USD
ACB-TXN00000197,ACB-C003926,ACB-BR021,2026-02-11,Withdrawal,Online Banking,111.05,Completed,0,USD
ACB-TXN00000198,ACB-C004998,ACB-BR063,2026-03-03,POS Purchase,Mobile App,15.94,Completed,0,USD
ACB-TXN00000199,ACB-C009570,ACB-BR077,2025-02-07,Deposit,Branch,170.96,Completed,0,USD
ACB-TXN00000200,ACB-C013327,ACB-BR056,2024-07-03,Transfer,ATM,726.47,Completed,0,USD
ACB-TXN00000201,ACB-C001776,ACB-BR056,2025-03-06,ATM Withdrawal,Online Banking,80.0,Completed,0,USD
ACB-TXN00000202,ACB-C005967,ACB-BR033,2025-03-10,Deposit,Branch,56.18,Completed,0,USD
ACB-TXN00000203,ACB-C004828,ACB-BR075,2025-05-06,Deposit,Branch,179.48,Pending,0,USD
ACB-TXN00000204,ACB-C011869,ACB-BR049,2025-11-29,Transfer,Mobile App,2112.82,Completed,0,USD
ACB-TXN00000205,ACB-C000763,ACB-BR028,2023-05-11,Withdrawal,Telephone,295.19,Completed,0,USD
ACB-TXN00000206,ACB-C013377,ACB-BR001,2023-09-07,Deposit,Online Banking,70.14,Completed,0,USD
ACB-TXN00000207,ACB-C002122,ACB-BR049,2026-01-06,Deposit,,718.28,Completed,0,USD
ACB-TXN00000208,ACB-C011887,ACB-BR064,2024-01-08,Bill Payment,ATM,124.49,Completed,0,USD
ACB-TXN00000209,ACB-C002712,ACB-BR037,2023-10-12,Bill Payment,Online Banking,241.59,Completed,0,USD
ACB-TXN00000210,ACB-C008044,ACB-BR020,2026-03-26,Deposit,Branch,126.79,Completed,0,USD
ACB-TXN00000211,ACB-C011527,ACB-BR011,2023-10-26,Bill Payment,Online Banking,234.07,Completed,0,USD
ACB-TXN00000212,ACB-C003870,ACB-BR014,2024-05-12,Deposit,ATM,1154.84,Completed,0,USD
ACB-TXN00000213,ACB-C010659,ACB-BR008,2023-10-07,POS Purchase,Mobile App,33.78,Completed,0,USD
ACB-TXN00000214,ACB-C003103,ACB-BR006,2024-06-29,Direct Deposit,,3486.38,Reversed,0,USD
ACB-TXN00000215,ACB-C005516,ACB-BR030,2025-02-24,Wire Transfer,Online Banking,11884.14,Completed,0,USD
ACB-TXN00000216,ACB-C007473,ACB-BR078,2026-02-21,Bill Payment,Mobile App,307.16,Completed,0,USD
ACB-TXN00000217,ACB-C000578,ACB-BR068,2025-10-01,Deposit,,652.26,Completed,0,USD
ACB-TXN00000218,ACB-C004449,ACB-BR079,2023-10-09,Withdrawal,Mobile App,270.87,Completed,0,USD
ACB-TXN00000219,ACB-C000477,ACB-BR028,2024-01-16,Bill Payment,ATM,56.89,Completed,0,USD
ACB-TXN00000220,ACB-C003714,ACB-BR009,2023-04-18,Transfer,ATM,3438.89,Completed,0,USD
ACB-TXN00000221,ACB-C006633,ACB-BR016,2024-04-08,Deposit,Branch,922.39,Completed,0,USD
ACB-TXN00000222,ACB-C008608,ACB-BR011,2025-08-15,POS Purchase,ATM,28.31,Completed,0,USD
ACB-TXN00000223,ACB-C005612,ACB-BR026,2024-03-01,Withdrawal,Mobile App,140.42,Completed,0,USD
ACB-TXN00000224,ACB-C014984,ACB-BR034,2024-04-16,Wire Transfer,Branch,10679.72,Completed,1,USD
ACB-TXN00000225,ACB-C009024,ACB-BR066,2025-09-22,Bill Payment,ATM,229.62,Completed,0,USD
ACB-TXN00000226,ACB-C014149,ACB-BR060,2026-02-16,Transfer,Online Banking,132.4,Completed,0,USD
ACB-TXN00000227,ACB-C009616,ACB-BR068,2024-07-06,Withdrawal,Mobile App,60.97,Completed,0,USD
ACB-TXN00000228,ACB-C006770,ACB-BR068,2023-04-20,Deposit,Mobile App,2207.76,Completed,0,USD
ACB-TXN00000229,ACB-C013268,ACB-BR062,2025-03-03,POS Purchase,Branch,75.34,Completed,0,USD
ACB-TXN00000230,ACB-C001255,ACB-BR021,2023-05-12,POS Purchase,Online Banking,66.17,Completed,0,USD
ACB-TXN00000231,ACB-C001118,ACB-BR004,2024-02-22,Withdrawal,Telephone,237.11,Completed,0,USD
ACB-TXN00000232,ACB-C008180,ACB-BR025,2025-11-20,POS Purchase,Mobile App,28.68,Completed,0,USD
ACB-TXN00000233,ACB-C004268,ACB-BR079,2025-04-27,POS Purchase,Online Banking,18.21,Completed,0,USD
ACB-TXN00000234,ACB-C012816,ACB-BR019,2025-10-04,Deposit,Mobile App,580.79,Completed,0,USD
ACB-TXN00000235,ACB-C004549,ACB-BR075,2024-09-08,Transfer,Mobile App,3543.81,Completed,0,USD
