loan_id,customer_id,loan_type,origination_date,loan_amount,outstanding_balance,interest_rate,term_months,loan_status,days_past_due,is_npl,branch_originated
ACB-LN0000043,ACB-C011024,Mortgage,2020-07-13,425998.45,42924.15,0.0345,120.0,Current,0,0,ACB-BR011
ACB-LN0000044,ACB-C011577,Personal Loan,2021-04-04,2006.26,1452.33,0.0969,12.0,Paid Off,0,0,ACB-BR049
ACB-LN0000045,ACB-C009868,Personal Loan,2023-07-10,4317.2,2197.42,0.24,180.0,Current,0,0,ACB-BR023
ACB-LN0000046,ACB-C004411,Mortgage,2019-06-12,251863.97,31345.72,0.0599,12.0,Current,0,0,ACB-BR072
ACB-LN0000047,ACB-C010573,Auto Loan,2020-01-02,38078.68,27246.85,0.0594,84.0,Current,0,0,ACB-BR079
ACB-LN0000048,ACB-C009543,Student Loan,2023-10-28,79044.2,16372.22,0.1038,60.0,Current,0,0,ACB-BR027
ACB-LN0000049,ACB-C004124,Home Equity Loan,2023-12-10,103901.62,45645.32,0.081,360.0,Paid Off,0,0,ACB-BR047
ACB-LN0000050,ACB-C011581,Auto Loan,2024-02-26,33769.13,18434.55,0.16,24.0,Current,0,0,ACB-BR067
ACB-LN0000051,ACB-C002399,Mortgage,2020-03-22,615759.74,177128.29,0.0396,36.0,Written Off,0,1,ACB-BR020
ACB-LN0000052,ACB-C011396,Personal Loan,2024-05-06,11454.93,8489.84,0.1444,360.0,Paid Off,0,0,ACB-BR013
ACB-LN0000053,ACB-C013251,Auto Loan,2021-08-17,26668.72,16788.69,0.0752,24.0,Written Off,0,1,ACB-BR012
ACB-LN0000054,ACB-C006205,Mortgage,2020-10-09,296774.61,221883.85,0.072,120.0,30-59 DPD,47,0,ACB-BR017
ACB-LN0000055,ACB-C003203,Home Equity Loan,2021-12-29,94751.71,69699.05,0.0757,180.0,Current,0,0,ACB-BR037
ACB-LN0000056,ACB-C007392,Auto Loan,2021-01-25,44529.87,2494.74,0.1367,36.0,Current,0,0,ACB-BR076
ACB-LN0000057,ACB-C005135,Student Loan,2024-01-27,29193.71,10195.74,0.11,120.0,Current,0,0,ACB-BR019
ACB-LN0000058,ACB-C003093,Personal Loan,2020-08-25,6506.48,3291.76,0.2125,180.0,Default,350,1,ACB-BR051
ACB-LN0000059,ACB-C008627,Auto Loan,2022-05-15,52913.06,8590.59,0.0545,48.0,Current,0,0,ACB-BR036
ACB-LN0000060,ACB-C007924,Auto Loan,2023-06-06,30565.18,17643.97,0.1123,240.0,Current,0,0,ACB-BR045
ACB-LN0000061,ACB-C005307,Auto Loan,2019-11-21,27687.03,18983.58,0.1026,48.0,30-59 DPD,44,0,ACB-BR007
ACB-LN0000062,ACB-C012549,Mortgage,2024-04-03,463523.91,410251.19,0.0874,84.0,Current,0,0,ACB-BR056
ACB-LN0000063,ACB-C006491,Mortgage,2023-08-16,284812.35,27565.27,0.0494,240.0,60-89 DPD,68,0,ACB-BR068
ACB-LN0000064,ACB-C011245,Home Equity Loan,2023-09-28,19701.34,3928.38,0.1296,180.0,Paid Off,0,0,ACB-BR012
ACB-LN0000065,ACB-C005306,Mortgage,2025-08-18,121983.54,100697.97,0.0581,12.0,Current,0,0,ACB-BR060
ACB-LN0000066,ACB-C000504,Personal Loan,2023-07-19,19984.09,12087.92,0.1347,240.0,Current,0,0,ACB-BR034
ACB-LN0000067,ACB-C011359,Student Loan,2019-08-19,67368.95,29142.33,0.0745,120.0,Current,0,0,ACB-BR026
ACB-LN0000068,ACB-C014216,Auto Loan,2024-05-24,37485.12,13308.29,0.0994,48.0,Current,0,0,ACB-BR060
ACB-LN0000069,ACB-C010769,Auto Loan,2024-07-27,39258.53,36224.33,0.1225,120.0,Current,0,0,ACB-BR073
ACB-LN0000070,ACB-C010791,Mortgage,2024-07-06,506602.2,170065.62,0.085,60.0,90+ DPD,139,1,ACB-BR066
ACB-LN0000071,ACB-C011490,Home Equity Loan,2025-02-26,71095.08,60591.66,0.1261,36.0,Current,0,0,ACB-BR021
ACB-LN0000072,ACB-C010769,Mortgage,2021-11-30,414790.91,146447.28,0.0673,360.0,Current,0,0,ACB-BR010
ACB-LN0000073,ACB-C009152,Personal Loan,2021-03-17,11025.58,9829.66,0.1545,360.0,Current,0,0,ACB-BR009
ACB-LN0000074,ACB-C002064,Auto Loan,2023-04-19,26262.31,17804.34,0.0991,180.0,Current,0,0,ACB-BR033
ACB-LN0000075,ACB-C008891,Mortgage,2019-07-03,608077.23,71351.89,0.0405,,Current,0,0,ACB-BR062
ACB-LN0000076,ACB-C012071,Mortgage,2019-11-08,212284.11,138533.85,0.0662,84.0,30-59 DPD,52,0,ACB-BR025
ACB-LN0000077,ACB-C000334,Personal Loan,2022-12-23,12146.97,7512.27,0.24,36.0,Current,0,0,ACB-BR051
ACB-LN0000078,ACB-C003896,Student Loan,2024-03-08,53907.25,10336.64,0.106,180.0,60-89 DPD,85,0,ACB-BR028
ACB-LN0000079,ACB-C014462,Personal Loan,2022-06-07,22982.99,18590.68,0.1901,,Current,0,0,ACB-BR025
ACB-LN0000080,ACB-C005697,Personal Loan,2024-10-03,14652.43,7292.97,0.1911,360.0,Current,0,0,ACB-BR030
ACB-LN0000081,ACB-C011287,Student Loan,2021-08-19,18231.7,3917.79,0.0826,180.0,Current,0,0,ACB-BR058
ACB-LN0000082,ACB-C000697,Home Equity Loan,2019-05-04,93508.04,27917.65,0.1049,36.0,Paid Off,0,0,ACB-BR047
ACB-LN0000083,ACB-C014077,Auto Loan,2020-02-11,36668.24,4568.18,0.0894,120.0,Current,0,0,ACB-BR012
ACB-LN0000084,ACB-C012802,Mortgage,2020-01-23,592748.32,343655.45,0.0443,60.0,Current,0,0,ACB-BR020
ACB-LN0000085,ACB-C006699,Personal Loan,2020-12-04,30522.73,6947.28,0.1285,240.0,Current,0,0,ACB-BR031
ACB-LN0000086,ACB-C008219,Small Business Loan,2019-06-29,242428.11,34158.27,0.1434,12.0,Current,0,0,ACB-BR064
ACB-LN0000087,ACB-C007603,Mortgage,2021-12-25,444237.82,294896.98,0.0365,48.0,Current,0,0,ACB-BR073
ACB-LN0000088,ACB-C012504,Mortgage,2019-11-29,552517.85,170331.0,0.066,60.0,Current,0,0,ACB-BR069
ACB-LN0000089,ACB-C001785,Personal Loan,2024-07-05,26475.1,10882.22,0.2056,48.0,Current,0,0,ACB-BR018
ACB-LN0000090,ACB-C000967,Personal Loan,2025-05-23,18996.7,15909.48,0.24,36.0,Current,0,0,ACB-BR020
ACB-LN0000091,ACB-C000959,Student Loan,2024-06-28,49687.93,23876.34,0.11,360.0,30-59 DPD,47,0,ACB-BR059
ACB-LN0000092,ACB-C003839,Home Equity Loan,2020-12-21,116795.65,38732.76,0.0724,36.0,Paid Off,0,0,ACB-BR049
ACB-LN0000093,ACB-C009431,Personal Loan,2024-11-15,11383.63,9748.77,0.1087,60.0,Current,0,0,ACB-BR077
ACB-LN0000094,ACB-C014651,Personal Loan,2024-04-02,12327.17,1934.16,0.24,240.0,Default,194,1,ACB-BR056
ACB-LN0000095,ACB-C009867,Home Equity Loan,2020-11-24,54537.22,41920.79,0.0589,36.0,Current,0,0,ACB-BR078
ACB-LN0000096,ACB-C014574,Mortgage,2020-10-27,522150.66,201295.47,0.0661,48.0,Paid Off,0,0,ACB-BR039
ACB-LN0000097,ACB-C001062,Mortgage,2024-10-18,272871.96,143044.85,0.0702,48.0,Current,0,0,ACB-BR030
ACB-LN0000098,ACB-C003545,Home Equity Loan,2019-06-10,26408.95,19144.3,0.0989,240.0,Current,0,0,ACB-BR009
ACB-LN0000099,ACB-C003209,Home Equity Loan,2023-04-14,49065.9,13517.98,0.0823,24.0,Current,0,0,ACB-BR066
ACB-LN0000100,ACB-C001941,Auto Loan,2019-02-23,49432.54,41373.07,0.0695,240.0,Current,0,0,ACB-BR063
ACB-LN0000101,ACB-C009289,Student Loan,2025-01-13,29044.87,17346.12,0.0632,360.0,90+ DPD,174,1,ACB-BR080
ACB-LN0000102,ACB-C001952,Mortgage,2022-04-13,636231.86,125486.36,0.0525,60.0,Current,0,0,ACB-BR003
ACB-LN0000103,ACB-C013498,Student Loan,2023-12-27,76963.25,68571.57,0.1012,240.0,Current,0,0,ACB-BR064
ACB-LN0000104,ACB-C011146,Auto Loan,2021-12-26,24336.76,9097.76,0.0675,48.0,Current,0,0,ACB-BR050
ACB-LN0000105,ACB-C001978,Student Loan,2020-11-23,51713.25,14875.8,0.0675,360.0,Current,0,0,ACB-BR037
ACB-LN0000106,ACB-C007903,Auto Loan,2023-10-24,33600.27,18581.57,0.1409,60.0,Current,0,0,ACB-BR034
ACB-LN0000107,ACB-C003680,Auto Loan,2020-11-25,21776.75,12899.18,0.0467,120.0,Current,0,0,ACB-BR056
ACB-LN0000108,ACB-C010067,Mortgage,2021-05-09,356828.38,197398.45,0.0631,180.0,Current,0,0,ACB-BR042
ACB-LN0000109,ACB-C003696,Mortgage,2024-04-20,495494.48,196236.01,0.0587,120.0,Current,0,0,ACB-BR023
ACB-LN0000110,ACB-C010573,Auto Loan,2023-09-14,31994.96,4660.19,0.16,240.0,Default,159,1,ACB-BR011
ACB-LN0000111,ACB-C005326,Mortgage,2022-09-10,630844.69,387406.5,0.0704,240.0,Current,0,0,ACB-BR027
ACB-LN0000112,ACB-C000510,Home Equity Loan,2025-10-12,71753.55,42422.06,0.14,60.0,Current,0,0,ACB-BR080
ACB-LN0000113,ACB-C010862,Mortgage,2024-03-20,318761.0,193684.44,0.081,84.0,Current,0,0,ACB-BR065
ACB-LN0000114,ACB-C001612,Mortgage,2022-05-24,469151.24,325227.92,0.056,360.0,Current,0,0,ACB-BR033
ACB-LN0000115,ACB-C000160,Mortgage,2024-06-01,406463.6,124690.81,0.0412,36.0,Current,0,0,ACB-BR045
ACB-LN0000116,ACB-C006432,Small Business Loan,2019-08-01,190556.85,162881.79,0.1225,12.0,Current,0,0,ACB-BR077
ACB-LN0000117,ACB-C012554,Home Equity Loan,2023-02-20,110281.07,24973.37,0.0836,84.0,Current,0,0,ACB-BR042
ACB-LN0000118,ACB-C009863,Student Loan,2025-12-07,52201.76,9090.26,,360.0,30-59 DPD,41,0,ACB-BR079
ACB-LN0000119,ACB-C012080,Mortgage,2025-10-20,377186.18,207269.19,0.051,60.0,Current,0,0,ACB-BR076
ACB-LN0000120,ACB-C004821,Mortgage,2025-11-19,495184.62,212742.28,0.078,360.0,Current,0,0,ACB-BR049
ACB-LN0000121,ACB-C004513,Mortgage,2022-10-14,224309.71,28217.38,0.0494,180.0,Current,0,0,ACB-BR056
ACB-LN0000122,ACB-C008114,Auto Loan,2023-10-25,42563.7,40068.2,0.1102,120.0,30-59 DPD,40,0,ACB-BR041
ACB-LN0000123,ACB-C005095,Mortgage,2019-11-10,338421.2,177439.0,0.0702,24.0,Current,0,0,ACB-BR035
ACB-LN0000124,ACB-C012394,Personal Loan,2024-08-25,27794.19,2274.63,0.24,24.0,Current,0,0,ACB-BR066
ACB-LN0000125,ACB-C012544,Mortgage,2022-11-26,163419.2,80124.22,0.0503,360.0,Current,0,0,ACB-BR063
ACB-LN0000126,ACB-C009346,Auto Loan,2024-10-01,39183.48,28363.34,0.16,180.0,Current,0,0,ACB-BR044
ACB-LN0000127,ACB-C003066,Small Business Loan,2021-02-22,133365.21,40481.03,0.0937,180.0,Default,182,1,ACB-BR040
ACB-LN0000128,ACB-C001206,Mortgage,2021-09-09,418893.67,163947.84,0.0435,360.0,Current,0,0,ACB-BR075
ACB-LN0000129,ACB-C004957,Personal Loan,2020-05-17,21620.84,9437.98,0.2177,84.0,Paid Off,0,0,ACB-BR038
ACB-LN0000130,ACB-C013442,Auto Loan,2019-04-18,13475.91,10904.56,0.0877,48.0,Current,0,0,ACB-BR007
ACB-LN0000131,ACB-C012246,Mortgage,2022-11-21,306545.18,135682.11,0.0863,180.0,Current,0,0,ACB-BR067
ACB-LN0000132,ACB-C012946,Student Loan,2025-03-19,42177.22,26183.33,0.1028,360.0,Current,0,0,ACB-BR064
ACB-LN0000133,ACB-C010000,Mortgage,2023-10-28,236829.01,120931.02,0.0738,360.0,60-89 DPD,86,0,ACB-BR062
ACB-LN0000134,ACB-C000670,Student Loan,2021-06-15,19378.6,13769.65,0.0448,36.0,30-59 DPD,37,0,ACB-BR023
ACB-LN0000135,ACB-C009347,Auto Loan,2025-02-25,38250.76,6568.15,0.16,120.0,Paid Off,0,0,ACB-BR065
ACB-LN0000136,ACB-C007686,Auto Loan,2023-12-15,23928.04,11304.66,0.1122,360.0,Current,0,0,ACB-BR037
ACB-LN0000137,ACB-C003611,Mortgage,2019-08-13,329868.38,176405.54,0.0484,36.0,Current,0,0,ACB-BR056
ACB-LN0000138,ACB-C008225,Home Equity Loan,2024-01-15,87754.24,9949.56,0.1166,120.0,Current,0,0,ACB-BR008
ACB-LN0000139,ACB-C010374,Personal Loan,2024-08-01,15106.43,2730.4,0.24,120.0,Current,0,0,ACB-BR076
ACB-LN0000140,ACB-C000368,Personal Loan,2020-10-26,15120.63,7507.46,0.1593,180.0,Current,0,0,ACB-BR067
ACB-LN0000141,ACB-C001104,Home Equity Loan,2024-05-24,90567.26,28179.28,0.1249,36.0,30-59 DPD,33,0,ACB-BR030
ACB-LN0000142,ACB-C007550,Personal Loan,2021-05-19,8050.72,1036.01,0.1506,360.0,Current,0,0,ACB-BR034
ACB-LN0000143,ACB-C005254,Mortgage,2019-10-08,603714.01,155524.74,0.0546,180.0,Paid Off,0,0,ACB-BR014
ACB-LN0000144,ACB-C010014,Auto Loan,2022-10-22,13136.35,10676.69,0.0879,48.0,Current,0,0,ACB-BR079
ACB-LN0000145,ACB-C005510,Auto Loan,2025-09-28,18365.45,6562.02,0.1557,84.0,Current,0,0,ACB-BR037
ACB-LN0000146,ACB-C008144,Auto Loan,2024-03-14,37425.97,30624.96,0.1234,48.0,Current,0,0,ACB-BR072
ACB-LN0000147,ACB-C010887,Auto Loan,2019-04-24,16546.83,9089.5,0.0512,84.0,Current,0,0,ACB-BR020
ACB-LN0000148,ACB-C001967,Personal Loan,2020-07-01,12508.7,7554.63,0.123,24.0,Paid Off,0,0,ACB-BR014
ACB-LN0000149,ACB-C003796,Personal Loan,2024-02-16,11767.67,1430.43,0.2177,12.0,Default,315,1,ACB-BR070
ACB-LN0000150,ACB-C001091,Personal Loan,2024-06-06,27773.49,14679.23,0.1223,84.0,Paid Off,0,0,ACB-BR050
ACB-LN0000151,ACB-C006138,Student Loan,2022-08-19,13845.63,1909.35,,120.0,Written Off,0,1,ACB-BR065
ACB-LN0000152,ACB-C004833,Mortgage,2020-06-28,340916.96,275885.41,0.0721,360.0,Paid Off,0,0,ACB-BR063
ACB-LN0000153,ACB-C004403,Home Equity Loan,2024-01-14,43955.96,32066.33,0.14,360.0,Current,0,0,ACB-BR010
ACB-LN0000154,ACB-C009421,Student Loan,2024-12-02,53295.13,4111.34,0.0623,60.0,Current,0,0,ACB-BR069
ACB-LN0000155,ACB-C014022,Home Equity Loan,2022-10-19,87275.83,53104.73,0.1051,60.0,Current,0,0,ACB-BR072
ACB-LN0000156,ACB-C010007,Mortgage,2024-09-11,230870.37,17045.72,0.0833,180.0,Paid Off,0,0,ACB-BR054
ACB-LN0000157,ACB-C003517,Mortgage,2024-10-05,184093.28,47866.93,0.0949,24.0,Current,0,0,ACB-BR066
ACB-LN0000158,ACB-C014261,Home Equity Loan,2021-09-29,92751.02,17794.6,0.0565,60.0,Current,0,0,ACB-BR025
ACB-LN0000159,ACB-C007551,Home Equity Loan,2020-08-13,18636.49,18010.43,0.0664,12.0,Current,0,0,ACB-BR026
ACB-LN0000160,ACB-C009704,Auto Loan,2024-05-22,21311.32,20195.44,0.1218,84.0,Current,0,0,ACB-BR018
ACB-LN0000161,ACB-C001963,Student Loan,2023-10-28,11100.37,4606.91,0.11,84.0,Current,0,0,ACB-BR010
ACB-LN0000162,ACB-C014281,Mortgage,2025-03-31,159223.33,75695.64,0.0837,12.0,Current,0,0,ACB-BR059
ACB-LN0000163,ACB-C000376,Mortgage,2019-05-06,353333.25,144224.38,0.0682,36.0,Current,0,0,ACB-BR022
ACB-LN0000164,ACB-C011163,Auto Loan,2025-11-20,47214.07,18377.78,0.0625,48.0,Current,0,0,ACB-BR030
ACB-LN0000165,ACB-C012243,Home Equity Loan,2019-02-15,95561.93,45917.67,0.1119,180.0,Current,0,0,ACB-BR035
ACB-LN0000166,ACB-C007318,Student Loan,2022-10-23,8789.75,4137.1,0.0763,12.0,Current,0,0,ACB-BR045
ACB-LN0000167,ACB-C002428,Mortgage,2019-12-09,310675.77,242596.71,0.0458,360.0,Current,0,0,ACB-BR009
ACB-LN0000168,ACB-C005171,Small Business Loan,2021-01-28,67764.56,9550.9,0.1607,24.0,Paid Off,0,0,ACB-BR028
ACB-LN0000169,ACB-C002545,Small Business Loan,2026-01-17,228456.44,184039.61,0.2,36.0,Current,0,0,ACB-BR042
ACB-LN0000170,ACB-C007250,Small Business Loan,2024-06-01,193265.3,79296.6,0.1254,36.0,Written Off,0,1,ACB-BR078
ACB-LN0000171,ACB-C005047,Mortgage,2023-05-02,376857.08,133473.09,0.0713,180.0,Current,0,0,ACB-BR058
ACB-LN0000172,ACB-C007750,Student Loan,2026-03-01,76145.72,44696.5,0.11,48.0,Current,0,0,ACB-BR026
ACB-LN0000173,ACB-C002360,Small Business Loan,2022-07-27,171117.2,54051.15,0.2,240.0,30-59 DPD,52,0,ACB-BR079
ACB-LN0000174,ACB-C010892,Personal Loan,2024-03-15,6752.02,4937.26,0.1977,24.0,60-89 DPD,85,0,ACB-BR043
ACB-LN0000175,ACB-C006153,Student Loan,2025-01-04,37510.18,31364.33,0.0574,120.0,Current,0,0,ACB-BR075
ACB-LN0000176,ACB-C013761,Personal Loan,2025-07-18,34427.99,23165.42,0.24,180.0,Current,0,0,ACB-BR006
ACB-LN0000177,ACB-C004007,Auto Loan,2020-01-19,11834.2,6401.82,0.064,360.0,90+ DPD,96,1,ACB-BR037
ACB-LN0000178,ACB-C002868,Auto Loan,2025-01-26,51103.09,13016.78,0.1048,24.0,Current,0,0,ACB-BR074
ACB-LN0000179,ACB-C005541,Mortgage,2022-12-03,555753.84,78149.68,0.0415,120.0,Current,0,0,ACB-BR075
ACB-LN0000180,ACB-C009341,Auto Loan,2019-10-29,31904.16,30210.14,0.1248,24.0,Current,0,0,ACB-BR064
ACB-LN0000181,ACB-C006492,Auto Loan,2020-06-06,18301.27,8088.84,,360.0,Current,0,0,ACB-BR041
ACB-LN0000182,ACB-C005243,Small Business Loan,2023-11-19,126247.57,104010.64,0.129,12.0,Paid Off,0,0,ACB-BR055
ACB-LN0000183,ACB-C003068,Mortgage,2022-07-28,398474.35,79571.81,0.0714,180.0,60-89 DPD,64,0,ACB-BR031
ACB-LN0000184,ACB-C011789,Personal Loan,2021-08-06,31997.35,26316.11,0.1387,120.0,Current,0,0,ACB-BR073
ACB-LN0000185,ACB-C013207,Personal Loan,2025-07-24,28145.19,22993.03,0.1176,240.0,Current,0,0,ACB-BR009
ACB-LN0000186,ACB-C012697,Auto Loan,2020-04-24,45499.14,31013.16,0.1018,36.0,Current,0,0,ACB-BR042
ACB-LN0000187,ACB-C005700,Mortgage,2020-05-24,588668.07,305687.23,0.0302,36.0,Current,0,0,ACB-BR051
ACB-LN0000188,ACB-C012358,Auto Loan,2025-10-28,38092.14,9859.16,0.0684,120.0,Current,0,0,ACB-BR041
ACB-LN0000189,ACB-C004105,Mortgage,2022-08-25,453037.5,238856.1,0.0601,12.0,Current,0,0,ACB-BR049
ACB-LN0000190,ACB-C012826,Auto Loan,2025-03-18,17401.04,6769.79,0.147,24.0,Current,0,0,ACB-BR072
ACB-LN0000191,ACB-C010349,Home Equity Loan,2022-11-25,52049.48,21960.98,0.0843,36.0,Current,0,0,ACB-BR008
ACB-LN0000192,ACB-C003080,Personal Loan,2021-04-12,23232.05,15831.73,0.2077,24.0,Current,0,0,ACB-BR026
ACB-LN0000193,ACB-C003332,Auto Loan,2024-11-26,12400.87,1412.53,0.1117,84.0,Current,0,0,ACB-BR050
ACB-LN0000194,ACB-C003274,Mortgage,2021-08-17,411193.1,373058.06,0.0683,84.0,Current,0,0,ACB-BR066
ACB-LN0000195,ACB-C002704,Auto Loan,2020-06-17,31215.85,9397.75,0.1197,180.0,Current,0,0,ACB-BR073
ACB-LN0000196,ACB-C002892,Personal Loan,2023-03-17,2145.18,1718.71,0.2385,36.0,Current,0,0,ACB-BR006
ACB-LN0000197,ACB-C013979,Personal Loan,2022-08-07,19123.69,13751.11,0.14,84.0,Current,0,0,ACB-BR063
ACB-LN0000198,ACB-C006658,Mortgage,2019-09-28,229904.79,172836.11,0.0407,48.0,30-59 DPD,44,0,ACB-BR056
ACB-LN0000199,ACB-C003206,Mortgage,2023-09-11,491842.07,411042.76,0.0936,36.0,Current,0,0,ACB-BR064
ACB-LN0000200,ACB-C014370,Home Equity Loan,2020-06-30,56301.91,47433.15,0.116,180.0,Current,0,0,ACB-BR062
ACB-LN0000201,ACB-C000988,Small Business Loan,2023-01-20,233695.64,17192.83,0.124,36.0,Current,0,0,ACB-BR002
ACB-LN0000202,ACB-C000499,Auto Loan,2023-02-15,20678.68,17387.81,0.1071,240.0,Written Off,0,1,ACB-BR039
ACB-LN0000203,ACB-C010514,Home Equity Loan,2026-01-10,64194.48,26682.11,0.0756,48.0,Current,0,0,ACB-BR013
ACB-LN0000204,ACB-C012362,Mortgage,2019-10-11,301276.76,286818.72,0.0733,36.0,Current,0,0,ACB-BR075
ACB-LN0000205,ACB-C008110,Small Business Loan,2023-01-14,248205.05,211860.09,0.2,36.0,Current,0,0,ACB-BR028
ACB-LN0000206,ACB-C010685,Personal Loan,2025-02-15,13029.18,11619.72,0.1881,24.0,Current,0,0,ACB-BR018
ACB-LN0000207,ACB-C005582,Auto Loan,2024-03-04,24806.67,3596.91,0.16,48.0,Paid Off,0,0,ACB-BR050
ACB-LN0000208,ACB-C008398,Mortgage,2025-07-10,553875.16,240051.04,0.095,120.0,Paid Off,0,0,ACB-BR025
