branch_id,report_month,actual_deposits,deposit_target,deposit_attainment,new_accounts_opened,loan_originations,operating_expenses,num_employees,revenue_per_employee,csat_score,sla_adherence_rate,state,region
ACB-BR002,2024-08,33733168.19,44086983.87,0.7652,30,30,66249.78,13,83035.49,3.4,0.9835,TX,South
ACB-BR002,2024-09,36022108.85,44086983.87,0.8171,36,30,85405.16,13,88669.81,3.2,0.8439,TX,South
ACB-BR002,2024-10,39403250.14,44086983.87,0.8938,30,36,73085.92,13,96992.62,4.0,0.8889,TX,South
ACB-BR002,2024-11,36921984.34,44086983.87,0.8375,26,40,78142.02,13,90884.88,5.0,0.7583,TX,South
ACB-BR002,2024-12,36830798.53,44086983.87,0.8354,26,27,71964.53,13,90660.43,4.1,0.8923,TX,South
ACB-BR002,2025-01,38859772.46,44086983.87,0.8814,30,44,75423.99,13,95654.82,4.4,0.8604,TX,South
ACB-BR002,2025-02,46388610.53,44086983.87,1.0522,25,34,78577.56,13,114187.35,3.7,0.9639,TX,South
ACB-BR002,2025-03,45009275.16,44086983.87,1.0209,28,38,91882.19,13,110792.06,4.0,0.9564,TX,South
ACB-BR002,2025-04,47595755.19,44086983.87,1.0796,34,47,87127.63,13,117158.78,3.8,0.9158,TX,South
ACB-BR002,2025-05,44814616.75,44086983.87,1.0165,34,42,80586.18,13,110312.9,4.2,0.8175,TX,South
ACB-BR002,2025-06,45064455.02,44086983.87,1.0222,41,45,66800.52,13,110927.89,3.6,0.9737,TX,South
ACB-BR002,2025-07,47162795.39,44086983.87,1.0698,21,30,65880.5,13,116093.03,4.4,0.9267,TX,South
ACB-BR002,2025-08,39013112.87,44086983.87,0.8849,21,39,70707.34,13,96032.28,3.8,0.8419,TX,South
ACB-BR002,2025-09,44532914.74,44086983.87,1.0101,38,41,68023.84,13,109619.48,3.5,0.9459,TX,South
ACB-BR002,2025-10,42883552.57,44086983.87,0.9727,30,32,60959.31,13,105559.51,3.3,0.9111,TX,South
ACB-BR002,2025-11,49629849.94,44086983.87,1.1257,30,46,68067.83,13,122165.78,4.3,0.9493,TX,South
ACB-BR002,2025-12,40215915.24,44086983.87,0.9122,20,37,54690.28,13,98993.02,3.9,0.858,TX,South
ACB-BR002,2026-01,43880042.76,44086983.87,0.9953,32,46,66246.32,13,108012.41,3.7,0.8433,TX,South
ACB-BR002,2026-02,46715802.8,44086983.87,1.0596,28,40,69226.74,13,114992.75,4.4,0.9048,TX,South
ACB-BR002,2026-03,42818584.99,44086983.87,0.9712,29,36,70367.48,13,105399.59,4.5,0.8901,TX,South
ACB-BR003,2024-04,123382351.13,107669579.33,1.1459,10,7,232768.39,36,109673.2,3.8,0.8172,FL,Southeast
ACB-BR003,2024-05,92455895.49,107669579.33,0.8587,2,17,181439.01,36,82183.02,4.5,0.9539,FL,Southeast
ACB-BR003,2024-06,101837021.56,107669579.33,0.9458,6,6,163576.38,36,90521.8,4.5,0.9974,FL,Southeast
ACB-BR003,2024-07,96052699.06,107669579.33,0.8921,13,29,196885.88,36,85380.18,4.0,0.7779,FL,Southeast
ACB-BR003,2024-08,92373916.65,107669579.33,0.8579,4,23,218459.2,36,82110.15,4.2,0.8994,FL,Southeast
ACB-BR003,2024-09,110305349.51,107669579.33,1.0245,0,13,195475.5,36,98049.2,4.4,0.9438,FL,Southeast
ACB-BR003,2024-10,102772333.41,107669579.33,0.9545,6,17,198652.0,36,91353.19,4.5,0.9233,FL,Southeast
ACB-BR003,2024-11,102030021.07,107669579.33,0.9476,0,8,185228.52,36,90693.35,4.4,0.8417,FL,Southeast
ACB-BR003,2024-12,118868023.75,107669579.33,1.104,7,5,216318.26,36,105660.47,4.1,0.9461,FL,Southeast
ACB-BR003,2025-01,108658921.49,107669579.33,1.0092,4,19,209577.94,36,96585.71,3.6,0.9532,FL,Southeast
ACB-BR003,2025-02,130161042.94,107669579.33,1.2089,7,21,205651.85,36,115698.7,3.9,0.9393,FL,Southeast
ACB-BR003,2025-03,124269372.19,107669579.33,1.1542,6,18,188131.97,36,110461.66,4.0,0.8102,FL,Southeast
ACB-BR003,2025-04,127075137.46,107669579.33,1.1802,0,21,232395.38,36,112955.68,3.9,0.8958,FL,Southeast
ACB-BR003,2025-05,100005680.64,107669579.33,0.9288,6,28,187874.93,36,88893.94,4.0,0.9717,FL,Southeast
ACB-BR003,2025-06,119752332.63,107669579.33,1.1122,7,22,183448.65,36,106446.52,3.7,0.8975,FL,Southeast
ACB-BR003,2025-07,97633271.25,107669579.33,0.9068,0,13,158487.29,36,86785.13,4.1,0.9037,FL,Southeast
ACB-BR003,2025-08,113671659.44,107669579.33,1.0557,13,23,201375.9,36,101041.48,3.9,0.9035,FL,Southeast
ACB-BR003,2025-09,86721774.57,107669579.33,0.8054,2,7,176170.57,36,77086.02,4.2,0.9005,FL,Southeast
ACB-BR003,2025-10,88246000.25,107669579.33,0.8196,12,1,158347.79,36,78440.89,3.3,0.8577,FL,Southeast
ACB-BR003,2025-11,100672785.68,107669579.33,0.935,3,16,219616.61,36,89486.92,4.7,0.9601,FL,Southeast
ACB-BR003,2025-12,96875215.35,107669579.33,0.8997,9,19,167798.7,36,86111.3,4.3,0.9352,FL,Southeast
ACB-BR003,2026-01,123617283.61,107669579.33,1.1481,0,22,159465.84,36,109882.03,3.7,0.9237,FL,Southeast
ACB-BR003,2026-02,116899953.28,107669579.33,1.0857,10,17,199872.99,36,103911.07,3.9,0.9745,FL,Southeast
ACB-BR003,2026-03,113702452.29,107669579.33,1.056,3,29,244613.59,36,101068.85,4.2,0.8249,FL,Southeast
ACB-BR004,2024-04,12281257.81,10296866.59,1.1927,13,16,41346.25,8,49125.03,4.5,0.9683,CA,West
ACB-BR004,2024-05,8967226.33,10296866.59,0.8709,3,7,41390.19,8,35868.91,4.0,0.8854,CA,West
ACB-BR004,2024-06,10760998.9,10296866.59,1.0451,8,18,44545.55,8,43044.0,3.9,0.9455,CA,West
ACB-BR004,2024-07,9767645.25,10296866.59,0.9486,21,14,48492.42,8,39070.58,4.6,0.9123,CA,West
ACB-BR004,2024-08,11103979.24,10296866.59,1.0784,7,6,38792.24,8,44415.92,4.2,0.8087,CA,West
ACB-BR004,2024-09,9084560.31,10296866.59,0.8823,14,17,51449.25,8,36338.24,3.9,0.8426,CA,West
ACB-BR004,2024-10,10460264.71,10296866.59,1.0159,17,10,46683.64,8,41841.06,3.6,0.8552,CA,West
ACB-BR004,2024-11,10186680.36,10296866.59,0.9893,8,12,35158.9,8,40746.72,4.3,0.9227,CA,West
ACB-BR004,2024-12,8592062.17,10296866.59,0.8344,13,17,44707.39,8,34368.25,4.5,0.8708,CA,West
ACB-BR004,2025-01,10530352.22,10296866.59,1.0227,14,9,48941.35,8,42121.41,,0.9585,CA,West
ACB-BR004,2025-02,12187022.28,10296866.59,1.1836,13,15,42702.22,8,48748.09,4.6,0.6419,CA,West
ACB-BR004,2025-03,11959351.4,10296866.59,1.1615,9,7,48042.26,8,47837.41,4.6,0.9362,CA,West
ACB-BR004,2025-04,12728198.96,10296866.59,1.2361,0,8,34331.17,8,50912.8,4.5,0.8978,CA,West
ACB-BR004,2025-05,8831113.52,10296866.59,0.8577,14,14,38407.23,8,35324.45,3.5,0.7621,CA,West
ACB-BR004,2025-06,9093291.34,10296866.59,0.8831,11,12,48276.69,8,36373.17,4.5,0.9538,CA,West
ACB-BR004,2025-07,8333522.61,10296866.59,0.8093,11,22,46243.27,8,33334.09,4.1,0.9598,CA,West
ACB-BR004,2025-08,11156912.23,10296866.59,1.0835,19,13,46090.77,8,44627.65,4.1,0.821,CA,West
ACB-BR004,2025-09,10648781.03,10296866.59,1.0342,17,16,42270.57,8,42595.12,3.2,0.8035,CA,West
ACB-BR004,2025-10,8063782.08,10296866.59,0.7831,2,17,46476.56,8,32255.13,4.8,0.9651,CA,West
ACB-BR004,2025-11,9056542.4,10296866.59,0.8795,21,21,48846.49,8,36226.17,4.2,0.8302,CA,West
ACB-BR004,2025-12,9794487.45,10296866.59,0.9512,15,22,34581.64,8,39177.95,4.1,0.8851,CA,West
ACB-BR004,2026-01,10606926.46,10296866.59,1.0301,20,8,49882.7,8,42427.71,3.9,0.8245,CA,West
ACB-BR004,2026-02,9409588.11,10296866.59,0.9138,17,19,48250.49,8,37638.35,4.7,0.9192,CA,West
ACB-BR004,2026-03,9894030.64,10296866.59,0.9609,8,0,43089.85,8,39576.12,4.7,0.8769,CA,West
ACB-BR005,2024-04,21174473.37,20030318.92,1.0571,32,38,78624.27,15,45172.21,5.0,0.9337,NC,Southeast
ACB-BR005,2024-05,19193380.91,20030318.92,0.9582,29,47,80211.32,15,40945.88,4.1,0.9764,NC,Southeast
ACB-BR005,2024-06,19632039.14,20030318.92,0.9801,15,24,72321.97,15,41881.68,4.0,0.9512,NC,Southeast
ACB-BR005,2024-07,19101922.27,20030318.92,0.9537,28,46,90384.11,15,40750.77,4.1,0.9462,NC,Southeast
ACB-BR005,2024-08,15872624.96,20030318.92,0.7924,30,21,69486.69,15,33861.6,3.8,0.8897,NC,Southeast
ACB-BR005,2024-09,19797995.59,20030318.92,0.9884,20,41,95906.34,15,42235.72,3.4,0.9457,NC,Southeast
ACB-BR005,2024-10,17153045.39,20030318.92,0.8564,30,35,70203.17,15,36593.16,3.9,0.9473,NC,Southeast
ACB-BR005,2024-11,19510986.68,20030318.92,0.9741,22,36,95839.38,15,41623.44,3.9,0.9168,NC,Southeast
ACB-BR005,2024-12,16853765.2,20030318.92,0.8414,30,25,87615.67,15,35954.7,3.6,0.9176,NC,Southeast
ACB-BR005,2025-01,18445443.34,20030318.92,0.9209,25,29,81069.65,15,39350.28,4.1,0.9324,NC,Southeast
ACB-BR005,2025-02,21874586.22,20030318.92,1.0921,35,43,65210.1,15,46665.78,4.3,0.8157,NC,Southeast
ACB-BR005,2025-03,19667529.73,20030318.92,0.9819,30,28,86599.55,15,41957.4,4.1,0.7848,NC,Southeast
ACB-BR005,2025-04,22514421.42,20030318.92,1.124,25,30,97383.16,15,48030.77,4.4,0.961,NC,Southeast
ACB-BR005,2025-05,17911710.85,20030318.92,0.8942,29,45,90603.49,15,38211.65,4.1,0.9781,NC,Southeast
ACB-BR005,2025-06,16701418.19,20030318.92,0.8338,29,36,86052.05,15,35629.69,3.8,0.8183,NC,Southeast
ACB-BR005,2025-07,22664510.13,20030318.92,1.1315,18,24,81030.8,15,48350.95,4.2,0.9195,NC,Southeast
ACB-BR005,2025-08,21289969.93,20030318.92,1.0629,24,40,77287.93,15,45418.6,4.9,0.9903,NC,Southeast
ACB-BR005,2025-09,18416880.44,20030318.92,0.9195,31,29,79081.75,15,39289.34,3.6,0.9034,NC,Southeast
ACB-BR005,2025-10,15350441.19,20030318.92,0.7664,45,34,98631.28,15,32747.61,4.6,0.8792,NC,Southeast
ACB-BR005,2025-11,22251651.98,20030318.92,1.1109,22,44,86795.73,15,47470.19,4.1,0.9618,NC,Southeast
ACB-BR005,2025-12,18988306.3,20030318.92,0.948,30,33,71999.77,15,40508.39,4.2,0.9619,NC,Southeast
ACB-BR005,2026-01,22030099.73,20030318.92,1.0998,36,34,75737.79,15,46997.55,4.3,0.9185,NC,Southeast
ACB-BR005,2026-02,21626594.44,20030318.92,1.0797,28,44,93330.22,15,46136.73,4.2,0.8956,NC,Southeast
ACB-BR005,2026-03,18893815.06,20030318.92,0.9433,24,13,96109.36,15,40306.81,4.1,0.7672,NC,Southeast
ACB-BR006,2024-04,5673887.13,6429101.26,0.8825,5,0,77779.09,13,13966.49,4.1,0.8613,NC,Southeast
ACB-BR006,2024-05,6705420.78,6429101.26,1.043,10,12,78357.1,13,16505.65,3.9,0.9395,NC,Southeast
ACB-BR006,2024-06,5925426.04,6429101.26,0.9217,10,8,67869.37,13,14585.66,4.3,0.9388,NC,Southeast
ACB-BR006,2024-07,6333039.96,6429101.26,0.9851,9,15,68281.47,13,15589.02,4.2,0.9829,NC,Southeast
ACB-BR006,2024-08,5283196.4,6429101.26,0.8218,5,8,75805.77,13,13004.79,5.0,0.8839,NC,Southeast
ACB-BR006,2024-09,5566670.52,6429101.26,0.8659,4,12,71820.71,13,13702.57,,0.9018,NC,Southeast
ACB-BR006,2024-10,6846602.04,6429101.26,1.0649,2,0,65950.95,13,16853.17,4.7,0.9711,NC,Southeast
ACB-BR006,2024-11,6399524.9,6429101.26,0.9954,15,15,75026.58,13,15752.68,3.6,0.8151,NC,Southeast
ACB-BR006,2024-12,7147363.61,6429101.26,1.1117,6,10,78712.04,13,17593.51,4.1,0.8315,NC,Southeast
ACB-BR006,2025-01,6076488.8,6429101.26,0.9452,5,15,71131.08,13,14957.51,3.9,0.741,NC,Southeast
ACB-BR006,2025-02,6299695.52,6429101.26,0.9799,9,2,76237.76,13,15506.94,3.7,0.9193,NC,Southeast
ACB-BR006,2025-03,5844801.15,6429101.26,0.9091,10,5,69629.65,13,14387.2,4.8,0.7956,NC,Southeast
ACB-BR006,2025-04,7329311.07,6429101.26,1.14,6,0,69464.48,13,18041.38,4.1,0.9653,NC,Southeast
ACB-BR006,2025-05,7364093.11,6429101.26,1.1454,9,27,59348.24,13,18127.0,4.0,0.9735,NC,Southeast
ACB-BR006,2025-06,7240152.58,6429101.26,1.1262,14,0,66121.06,13,17821.91,3.6,0.8911,NC,Southeast
ACB-BR006,2025-07,5905052.48,6429101.26,0.9185,9,5,62918.32,13,14535.51,4.0,0.9267,NC,Southeast
ACB-BR006,2025-08,5990196.75,6429101.26,0.9317,8,0,58628.84,13,14745.1,3.6,0.9373,NC,Southeast
ACB-BR006,2025-09,6220410.23,6429101.26,0.9675,12,20,64240.76,13,15311.78,,0.7813,NC,Southeast
ACB-BR006,2025-10,6448585.95,6429101.26,1.003,9,8,74515.89,13,15873.44,4.6,0.9327,NC,Southeast
ACB-BR006,2025-11,6437341.35,6429101.26,1.0013,13,0,60306.44,13,15845.76,4.4,0.9818,NC,Southeast
ACB-BR006,2025-12,7389342.44,6429101.26,1.1494,7,0,72798.0,13,18189.15,3.2,0.9783,NC,Southeast
ACB-BR006,2026-01,6224494.94,6429101.26,0.9682,2,6,62625.35,13,15321.83,4.9,0.812,NC,Southeast
ACB-BR006,2026-02,7117354.69,6429101.26,1.1071,12,3,67357.34,13,17519.64,4.3,0.9692,NC,Southeast
ACB-BR006,2026-03,5755069.74,6429101.26,0.8952,10,3,62667.85,13,14166.33,,0.8074,NC,Southeast
ACB-BR007,2024-04,15795757.85,15396989.57,1.0259,5,24,127538.54,21,24069.73,3.8,0.9275,GA,Southeast
ACB-BR007,2024-05,16683410.04,15396989.57,1.0836,23,19,107924.62,21,25422.34,4.1,0.9468,GA,Southeast
ACB-BR007,2024-06,14931444.94,15396989.57,0.9698,11,29,116245.69,21,22752.68,4.5,0.946,GA,Southeast
ACB-BR007,2024-07,12202946.94,15396989.57,0.7926,6,17,133799.71,21,18594.97,4.8,0.9617,GA,Southeast
ACB-BR007,2024-08,14403282.2,15396989.57,0.9355,26,19,98865.98,21,21947.86,4.1,0.8646,GA,Southeast
ACB-BR007,2024-09,13111347.48,15396989.57,0.8516,12,15,148973.48,21,19979.2,4.3,0.9302,GA,Southeast
ACB-BR007,2024-10,14497662.8,15396989.57,0.9416,12,8,118397.31,21,22091.68,4.6,0.8942,GA,Southeast
ACB-BR007,2024-11,12518615.82,15396989.57,0.8131,14,4,113141.26,21,19075.99,3.3,0.8944,GA,Southeast
ACB-BR007,2024-12,17210492.58,15396989.57,1.1178,19,12,129720.26,21,26225.51,3.5,0.8741,GA,Southeast
ACB-BR007,2025-01,16821287.48,15396989.57,1.0925,3,21,122978.57,21,25632.44,4.8,0.7872,GA,Southeast
ACB-BR007,2025-02,13745023.91,15396989.57,0.8927,9,15,97744.59,21,20944.8,4.4,0.9664,GA,Southeast
ACB-BR007,2025-03,15961017.91,15396989.57,1.0366,17,16,128586.0,21,24321.55,,0.9819,GA,Southeast
ACB-BR007,2025-04,16450154.93,15396989.57,1.0684,16,17,96913.53,21,25066.9,4.0,0.9282,GA,Southeast
ACB-BR007,2025-05,15831096.92,15396989.57,1.0282,14,6,119862.7,21,24123.58,4.0,0.9533,GA,Southeast
ACB-BR007,2025-06,15265501.71,15396989.57,0.9915,11,18,120753.08,21,23261.72,3.5,0.9302,GA,Southeast
ACB-BR007,2025-07,15863722.1,15396989.57,1.0303,8,17,100168.48,21,24173.29,4.2,0.9068,GA,Southeast
ACB-BR007,2025-08,12172978.63,15396989.57,0.7906,10,1,129059.08,21,18549.3,3.8,0.9592,GA,Southeast
ACB-BR007,2025-09,14714884.62,15396989.57,0.9557,6,13,103717.23,21,22422.68,3.3,0.8213,GA,Southeast
ACB-BR007,2025-10,12878379.77,15396989.57,0.8364,7,4,143697.0,21,19624.2,4.1,0.8829,GA,Southeast
ACB-BR007,2025-11,13630437.36,15396989.57,0.8853,7,26,106551.8,21,20770.19,4.3,0.9797,GA,Southeast
ACB-BR007,2025-12,16073323.39,15396989.57,1.0439,15,22,92043.95,21,24492.68,4.8,0.9447,GA,Southeast
ACB-BR007,2026-01,13442044.25,15396989.57,0.873,13,4,135736.76,21,20483.12,4.7,0.9469,GA,Southeast
ACB-BR007,2026-02,14620495.09,15396989.57,0.9496,16,3,107592.75,21,22278.85,3.8,0.9893,GA,Southeast
ACB-BR007,2026-03,14955860.1,15396989.57,0.9713,7,9,113896.11,21,22789.88,3.7,0.9876,GA,Southeast
ACB-BR008,2024-04,25519839.17,20395580.56,1.2512,22,41,232889.66,44,18559.88,4.4,0.9477,VA,Northeast
ACB-BR008,2024-05,17888556.93,20395580.56,0.8771,25,27,256884.69,44,13009.86,4.1,0.9178,VA,Northeast
ACB-BR008,2024-06,23181527.73,20395580.56,1.1366,27,33,272339.14,44,16859.29,4.5,0.8972,VA,Northeast
ACB-BR008,2024-07,17036394.43,20395580.56,0.8353,22,37,237243.15,44,12390.11,4.3,0.9704,VA,Northeast
ACB-BR008,2024-08,22358868.06,20395580.56,1.0963,35,42,246950.38,44,16260.99,4.0,0.9443,VA,Northeast
ACB-BR008,2024-09,15661037.14,20395580.56,0.7679,25,20,281672.68,44,11389.85,3.7,0.9799,VA,Northeast
ACB-BR008,2024-10,22365989.62,20395580.56,1.0966,26,29,236197.66,44,16266.17,4.1,0.893,VA,Northeast
ACB-BR008,2024-11,19582602.36,20395580.56,0.9601,32,28,201460.6,44,14241.89,3.9,0.972,VA,Northeast
ACB-BR008,2024-12,19588834.62,20395580.56,0.9604,25,36,224309.85,44,14246.43,4.0,0.9693,VA,Northeast
ACB-BR008,2025-01,17806448.59,20395580.56,0.8731,24,45,263631.17,44,12950.14,4.5,0.9125,VA,Northeast
ACB-BR008,2025-02,21711636.52,20395580.56,1.0645,24,49,214586.16,44,15790.28,4.4,0.9079,VA,Northeast
ACB-BR008,2025-03,24434693.07,20395580.56,1.198,32,25,224672.02,44,17770.69,4.4,0.8938,VA,Northeast
ACB-BR008,2025-04,18935179.07,20395580.56,0.9284,27,41,236189.12,44,13771.04,4.5,0.7406,VA,Northeast
ACB-BR008,2025-05,20759760.67,20395580.56,1.0179,28,43,211164.94,44,15098.01,4.4,0.8355,VA,Northeast
ACB-BR008,2025-06,21331763.82,20395580.56,1.0459,22,26,216316.83,44,15514.01,3.5,0.9489,VA,Northeast
ACB-BR008,2025-07,21006305.94,20395580.56,1.0299,28,46,191634.7,44,15277.31,4.5,0.9731,VA,Northeast
ACB-BR008,2025-08,20961658.77,20395580.56,1.0278,26,30,247348.41,44,15244.84,4.3,0.8954,VA,Northeast
ACB-BR008,2025-09,21686114.87,20395580.56,1.0633,31,34,265288.52,44,15771.72,3.1,0.93,VA,Northeast
ACB-BR008,2025-10,20156150.8,20395580.56,0.9883,28,20,217121.56,44,14659.02,3.4,0.9075,VA,Northeast
ACB-BR008,2025-11,18015696.08,20395580.56,0.8833,36,52,248398.68,44,13102.32,4.9,0.8261,VA,Northeast
ACB-BR008,2025-12,20046253.39,20395580.56,0.9829,22,44,215494.12,44,14579.09,4.2,0.8883,VA,Northeast
ACB-BR008,2026-01,18149784.92,20395580.56,0.8899,23,20,220691.05,44,13199.84,4.4,0.8309,VA,Northeast
ACB-BR008,2026-02,25232001.45,20395580.56,1.2371,29,39,242950.59,44,18350.55,4.2,0.9087,VA,Northeast
ACB-BR008,2026-03,23485662.46,20395580.56,1.1515,25,21,257197.86,44,17080.48,3.9,0.7254,VA,Northeast
ACB-BR009,2024-04,29555877.59,29990866.43,0.9855,31,27,156289.15,26,36376.46,4.4,0.8425,GA,Southeast
ACB-BR009,2024-05,33802645.21,29990866.43,1.1271,22,35,132354.14,26,41603.26,3.6,0.825,GA,Southeast
ACB-BR009,2024-06,34983731.48,29990866.43,1.1665,21,39,147076.01,26,43056.9,3.9,0.9645,GA,Southeast
ACB-BR009,2024-07,31811609.74,29990866.43,1.0607,30,28,119825.61,26,39152.75,3.8,0.9009,GA,Southeast
ACB-BR009,2024-08,30714045.21,29990866.43,1.0241,26,34,183778.19,26,37801.9,4.5,0.9533,GA,Southeast
ACB-BR009,2024-09,31013046.63,29990866.43,1.0341,30,28,128670.36,26,38169.9,3.8,0.8306,GA,Southeast
ACB-BR009,2024-10,23081633.59,29990866.43,0.7696,29,34,127245.56,26,28408.16,3.8,0.8143,GA,Southeast
ACB-BR009,2024-11,28589090.57,29990866.43,0.9533,24,27,176358.0,26,35186.57,4.2,0.8096,GA,Southeast
ACB-BR009,2024-12,33060008.42,29990866.43,1.1023,23,25,161308.32,26,40689.24,4.4,0.7508,GA,Southeast
ACB-BR009,2025-01,28982445.98,29990866.43,0.9664,35,49,134032.1,26,35670.7,4.4,0.9379,GA,Southeast
ACB-BR009,2025-02,28031651.89,29990866.43,0.9347,26,31,145384.08,26,34500.49,4.3,0.8823,GA,Southeast
ACB-BR009,2025-03,27953900.91,29990866.43,0.9321,24,23,117906.22,26,34404.8,5.0,0.9143,GA,Southeast
ACB-BR009,2025-04,34835757.81,29990866.43,1.1615,26,40,137814.45,26,42874.78,4.0,0.8264,GA,Southeast
ACB-BR009,2025-05,34750014.94,29990866.43,1.1587,25,16,154518.44,26,42769.25,3.8,0.7845,GA,Southeast
ACB-BR009,2025-06,25879926.94,29990866.43,0.8629,26,34,131836.46,26,31852.22,,0.7825,GA,Southeast
ACB-BR009,2025-07,30806424.69,29990866.43,1.0272,25,30,157865.24,26,37915.6,3.7,0.9099,GA,Southeast
ACB-BR009,2025-08,24440865.78,29990866.43,0.8149,25,24,134802.01,26,30081.07,4.9,0.963,GA,Southeast
ACB-BR009,2025-09,25867010.97,29990866.43,0.8625,26,47,173699.9,26,31836.32,3.8,0.9504,GA,Southeast
ACB-BR009,2025-10,30668342.88,29990866.43,1.0226,23,49,149952.62,26,37745.65,4.1,0.928,GA,Southeast
ACB-BR009,2025-11,30939700.47,29990866.43,1.0316,35,31,155258.15,26,38079.63,3.6,0.938,GA,Southeast
ACB-BR009,2025-12,30584575.56,29990866.43,1.0198,28,49,155641.93,26,37642.55,3.6,0.9881,GA,Southeast
ACB-BR009,2026-01,25636550.64,29990866.43,0.8548,30,37,142254.92,26,31552.68,4.3,0.83,GA,Southeast
ACB-BR009,2026-02,29138700.33,29990866.43,0.9716,26,37,146072.9,26,35863.02,4.0,0.8092,GA,Southeast
ACB-BR009,2026-03,29546497.66,29990866.43,0.9852,31,43,127710.51,26,36364.92,3.6,0.9668,GA,Southeast
ACB-BR010,2024-04,131386564.9,116578815.85,1.127,12,17,177706.44,31,135624.84,4.1,0.64,IL,Midwest
ACB-BR010,2024-05,125514255.79,116578815.85,1.0766,3,24,187200.6,31,129563.1,3.6,0.902,IL,Midwest
ACB-BR010,2024-06,103800701.59,116578815.85,0.8904,7,0,150213.5,31,107149.11,4.4,0.8757,IL,Midwest
ACB-BR010,2024-07,129476422.33,116578815.85,1.1106,4,26,164919.17,31,133653.08,3.6,0.918,IL,Midwest
ACB-BR010,2024-08,127992872.5,116578815.85,1.0979,12,16,193690.11,31,132121.67,3.5,0.8862,IL,Midwest
ACB-BR010,2024-09,104355721.83,116578815.85,0.8952,9,12,170351.04,31,107722.04,4.1,0.9539,IL,Midwest
ACB-BR010,2024-10,111499814.64,116578815.85,0.9564,11,22,189441.62,31,115096.58,3.7,0.9287,IL,Midwest
