flag_id,transaction_id,customer_id,flag_date,flag_category,flagged_amount,investigation_status,loss_amount,detection_method
ACB-RF0000061,ACB-TXN00014269,ACB-C006145,2023-03-17,Transaction Velocity,63.9,Confirmed Fraud,41.44,ML Model
ACB-RF0000062,ACB-TXN00014407,ACB-C009279,2023-10-25,Account Takeover,190.53,Confirmed Fraud,0.0,ML Model
ACB-RF0000063,ACB-TXN00014848,ACB-C002079,2023-02-06,Card Not Present,18158.23,Under Review,0.0,Rules Engine
ACB-RF0000064,ACB-TXN00015197,ACB-C000849,2023-07-29,Account Takeover,7709.56,Under Review,3517.38,Rules Engine
ACB-RF0000065,ACB-TXN00015397,ACB-C008104,2023-02-04,Card Not Present,468.24,Confirmed Fraud,0.0,ML Model
ACB-RF0000066,ACB-TXN00015481,ACB-C003318,2024-09-23,Card Not Present,200.0,Under Review,0.0,Customer Report
ACB-RF0000067,ACB-TXN00015817,ACB-C007188,2023-09-30,Structuring,28681.78,Confirmed Fraud,12255.54,Manual Review
ACB-RF0000068,ACB-TXN00016121,ACB-C008640,2023-03-27,Transaction Velocity,36.18,Under Review,0.0,Manual Review
ACB-RF0000069,ACB-TXN00016411,ACB-C005592,2026-02-21,Account Takeover,5709.47,Confirmed Fraud,0.0,Rules Engine
ACB-RF0000070,ACB-TXN00016900,ACB-C002543,2024-10-01,Account Takeover,584.56,False Positive,170.5,Rules Engine
ACB-RF0000071,ACB-TXN00016919,ACB-C005622,2024-06-19,Account Takeover,595.06,Confirmed Fraud,0.0,ML Model
ACB-RF0000072,ACB-TXN00017334,ACB-C005333,2024-03-27,Unusual Geography,18260.77,False Positive,0.0,Customer Report
ACB-RF0000073,ACB-TXN00017636,ACB-C014789,2024-04-02,Money Laundering Suspicion,147.94,Confirmed Fraud,0.0,Rules Engine
ACB-RF0000074,ACB-TXN00017725,ACB-C005888,2023-10-16,Card Not Present,67748.8,Confirmed Fraud,0.0,Rules Engine
ACB-RF0000075,ACB-TXN00017869,ACB-C001046,2023-07-11,Transaction Velocity,373.0,Under Review,164.58,Rules Engine
ACB-RF0000076,ACB-TXN00017884,ACB-C001231,2024-06-06,Synthetic Identity,28111.28,False Positive,0.0,Customer Report
ACB-RF0000077,ACB-TXN00018280,ACB-C000919,2024-03-30,Transaction Velocity,61.79,Under Review,0.0,Manual Review
ACB-RF0000078,ACB-TXN00018526,ACB-C007300,2024-03-09,Transaction Velocity,248.64,Confirmed Fraud,0.0,Rules Engine
ACB-RF0000079,ACB-TXN00018849,ACB-C006158,2024-02-12,Money Laundering Suspicion,12893.88,Under Review,0.0,ML Model
ACB-RF0000080,ACB-TXN00019169,ACB-C000966,2023-09-18,Identity Theft,50.67,Confirmed Fraud,22.36,Rules Engine
ACB-RF0000081,ACB-TXN00019266,ACB-C011865,2025-03-24,Card Not Present,137.77,Confirmed Fraud,0.0,Rules Engine
ACB-RF0000082,ACB-TXN00019323,ACB-C012895,2025-02-28,Card Not Present,8463.62,Under Review,0.0,Manual Review
ACB-RF0000083,ACB-TXN00019516,ACB-C001635,2024-11-20,Account Takeover,390.5,Under Review,0.0,ML Model
ACB-RF0000084,ACB-TXN00020252,ACB-C000248,2024-08-15,Synthetic Identity,631.74,False Positive,584.19,Rules Engine
ACB-RF0000085,ACB-TXN00020642,ACB-C001981,2023-11-07,Account Takeover,500.0,Confirmed Fraud,0.0,Rules Engine
ACB-RF0000086,ACB-TXN00020950,ACB-C002224,2024-01-16,Card Not Present,49.07,Confirmed Fraud,3.31,Manual Review
ACB-RF0000087,ACB-TXN00022368,ACB-C006704,2024-12-25,Transaction Velocity,37360.8,False Positive,3411.8,ML Model
ACB-RF0000088,ACB-TXN00022536,ACB-C000412,2023-04-11,Synthetic Identity,60.0,Confirmed Fraud,0.0,Manual Review
ACB-RF0000089,ACB-TXN00022734,ACB-C007997,2025-04-05,Account Takeover,391.32,False Positive,0.0,ML Model
ACB-RF0000090,ACB-TXN00022751,ACB-C004140,2025-04-02,Account Takeover,1085.44,Under Review,0.0,Manual Review
ACB-RF0000091,ACB-TXN00022767,ACB-C009097,2023-12-04,Transaction Velocity,13420.24,False Positive,0.0,Manual Review
ACB-RF0000092,ACB-TXN00022794,ACB-C011973,2024-10-03,Transaction Velocity,523.2,Confirmed Fraud,0.0,Rules Engine
ACB-RF0000093,ACB-TXN00022878,ACB-C010999,2025-10-24,Card Not Present,60.0,Confirmed Fraud,38.63,Manual Review
ACB-RF0000094,ACB-TXN00023076,ACB-C001825,2023-04-23,Unusual Geography,568.27,Under Review,0.0,ML Model
ACB-RF0000095,ACB-TXN00023543,ACB-C008814,2023-10-23,Card Not Present,17.43,False Positive,0.0,ML Model
ACB-RF0000096,ACB-TXN00023580,ACB-C011995,2023-12-31,Account Takeover,114.03,Under Review,0.0,ML Model
ACB-RF0000097,ACB-TXN00024528,ACB-C004749,2023-12-26,Account Takeover,3023.32,Confirmed Fraud,1421.55,Customer Report
ACB-RF0000098,ACB-TXN00024791,ACB-C004002,2024-11-06,Transaction Velocity,17271.4,False Positive,8230.72,ML Model
ACB-RF0000099,ACB-TXN00024847,ACB-C013478,2024-02-14,Identity Theft,672.18,Under Review,0.0,Manual Review
ACB-RF0000100,ACB-TXN00025190,ACB-C007242,2024-07-12,Structuring,221.84,Confirmed Fraud,0.0,Manual Review
ACB-RF0000101,ACB-TXN00025295,ACB-C001711,2023-01-27,Transaction Velocity,44.06,Confirmed Fraud,40.12,ML Model
ACB-RF0000102,ACB-TXN00025587,ACB-C002668,2024-09-07,Card Not Present,2955.75,Confirmed Fraud,1438.25,Rules Engine
ACB-RF0000103,ACB-TXN00026280,ACB-C007070,2023-08-28,Account Takeover,2474.74,Under Review,0.0,Rules Engine
ACB-RF0000104,ACB-TXN00026781,ACB-C011375,2023-03-16,Synthetic Identity,106.32,False Positive,0.0,Rules Engine
ACB-RF0000105,ACB-TXN00026899,ACB-C003613,2026-02-08,Unusual Geography,75.83,Under Review,0.0,Rules Engine
ACB-RF0000106,ACB-TXN00027053,ACB-C010696,2025-07-22,Transaction Velocity,15962.98,Confirmed Fraud,0.0,Rules Engine
ACB-RF0000107,ACB-TXN00027300,ACB-C005133,2023-07-16,Card Not Present,133.92,Confirmed Fraud,102.57,Rules Engine
ACB-RF0000108,ACB-TXN00027378,ACB-C005506,2025-01-26,Synthetic Identity,75.06,Confirmed Fraud,51.49,Rules Engine
ACB-RF0000109,ACB-TXN00027674,ACB-C004920,2023-05-27,Account Takeover,36.5,Confirmed Fraud,0.0,ML Model
ACB-RF0000110,ACB-TXN00027696,ACB-C004103,2024-06-27,Account Takeover,31131.75,Confirmed Fraud,0.0,ML Model
ACB-RF0000111,ACB-TXN00027710,ACB-C003228,2025-05-28,Account Takeover,65.29,Confirmed Fraud,0.0,ML Model
ACB-RF0000112,ACB-TXN00027717,ACB-C001795,2024-06-14,Card Not Present,596.29,Confirmed Fraud,105.06,Rules Engine
ACB-RF0000113,ACB-TXN00027761,ACB-C006046,2026-01-09,Card Not Present,2099.26,Confirmed Fraud,586.64,Rules Engine
ACB-RF0000114,ACB-TXN00027897,ACB-C010763,2024-11-03,Card Not Present,44339.18,Under Review,0.0,Rules Engine
ACB-RF0000115,ACB-TXN00028337,ACB-C004963,2023-10-24,Card Not Present,382.12,Under Review,0.0,Rules Engine
ACB-RF0000116,ACB-TXN00028439,ACB-C008626,2024-10-24,Card Not Present,170.21,Confirmed Fraud,0.0,Rules Engine
ACB-RF0000117,ACB-TXN00028497,ACB-C003863,2025-03-04,Account Takeover,487.46,False Positive,342.14,Rules Engine
ACB-RF0000118,ACB-TXN00028501,ACB-C009907,2024-12-08,Money Laundering Suspicion,300.0,Confirmed Fraud,0.0,Rules Engine
ACB-RF0000119,ACB-TXN00028663,ACB-C004916,2023-12-26,Identity Theft,3097.23,False Positive,0.0,Rules Engine
ACB-RF0000120,ACB-TXN00028893,ACB-C011829,2026-03-04,Transaction Velocity,211.9,Under Review,145.44,Rules Engine
ACB-RF0000121,ACB-TXN00029019,ACB-C013209,2026-01-13,Identity Theft,818.7,Confirmed Fraud,0.0,ML Model
ACB-RF0000122,ACB-TXN00029432,ACB-C005842,2023-12-11,Transaction Velocity,2632.53,Under Review,2339.06,ML Model
ACB-RF0000123,ACB-TXN00029630,ACB-C011834,2025-07-16,Card Not Present,10645.17,Under Review,939.46,Rules Engine
ACB-RF0000124,ACB-TXN00029919,ACB-C012698,2023-10-15,Identity Theft,1131.15,Under Review,0.0,Rules Engine
ACB-RF0000125,ACB-TXN00030511,ACB-C010506,2025-06-04,Identity Theft,912.51,Confirmed Fraud,88.24,Customer Report
ACB-RF0000126,ACB-TXN00030621,ACB-C014872,2023-06-27,Card Not Present,10785.81,Pending,0.0,ML Model
ACB-RF0000127,ACB-TXN00031021,ACB-C008112,2023-01-18,Transaction Velocity,46.56,Confirmed Fraud,0.0,ML Model
ACB-RF0000128,ACB-TXN00031081,ACB-C004121,2024-07-29,Card Not Present,78.29,Pending,0.0,ML Model
ACB-RF0000129,ACB-TXN00031084,ACB-C007387,2024-01-08,Unusual Geography,40735.44,Confirmed Fraud,13834.59,ML Model
ACB-RF0000130,ACB-TXN00031813,ACB-C009187,2025-07-23,Synthetic Identity,500.0,Confirmed Fraud,0.0,Customer Report
ACB-RF0000131,ACB-TXN00031836,ACB-C003850,2025-08-04,Unusual Geography,39.89,Confirmed Fraud,15.43,Customer Report
ACB-RF0000132,ACB-TXN00032810,ACB-C005483,2026-03-06,Structuring,278.02,False Positive,0.0,ML Model
ACB-RF0000133,ACB-TXN00033134,ACB-C000016,2023-03-14,Card Not Present,260.53,Confirmed Fraud,0.0,Customer Report
ACB-RF0000134,ACB-TXN00033649,ACB-C009128,2025-02-09,Transaction Velocity,646.64,Confirmed Fraud,0.0,Rules Engine
ACB-RF0000135,ACB-TXN00034407,ACB-C002939,2025-11-11,Transaction Velocity,22634.88,Confirmed Fraud,0.0,ML Model
ACB-RF0000136,ACB-TXN00034498,ACB-C007623,2026-03-23,Synthetic Identity,2782.51,False Positive,0.0,Rules Engine
ACB-RF0000137,ACB-TXN00034609,ACB-C011615,2025-12-02,Account Takeover,164.33,Confirmed Fraud,32.43,ML Model
ACB-RF0000138,ACB-TXN00034742,ACB-C004370,2025-05-27,Synthetic Identity,100.26,Confirmed Fraud,0.0,Rules Engine
ACB-RF0000139,ACB-TXN00034958,ACB-C008805,2023-04-15,Account Takeover,11315.04,False Positive,6677.05,Manual Review
ACB-RF0000140,ACB-TXN00035020,ACB-C011616,2025-04-18,Card Not Present,658.8,Confirmed Fraud,0.0,ML Model
ACB-RF0000141,ACB-TXN00035528,ACB-C011929,2025-06-05,Account Takeover,12653.13,Under Review,0.0,Rules Engine
ACB-RF0000142,ACB-TXN00036116,ACB-C006546,2025-09-13,Account Takeover,162.89,Confirmed Fraud,0.0,Customer Report
ACB-RF0000143,ACB-TXN00036770,ACB-C002809,2024-07-10,Card Not Present,9372.51,Confirmed Fraud,6929.13,ML Model
ACB-RF0000144,ACB-TXN00037088,ACB-C004645,2023-01-13,Identity Theft,100.0,Confirmed Fraud,26.1,Rules Engine
ACB-RF0000145,ACB-TXN00037203,ACB-C014053,2023-08-06,Synthetic Identity,28491.03,Pending,6936.32,Manual Review
ACB-RF0000146,ACB-TXN00037518,ACB-C000043,2026-02-10,Account Takeover,431.68,Confirmed Fraud,0.0,Manual Review
ACB-RF0000147,ACB-TXN00037778,ACB-C003494,2023-10-11,Card Not Present,5144.36,False Positive,0.0,Rules Engine
ACB-RF0000148,ACB-TXN00037800,ACB-C006541,2025-02-09,Identity Theft,101.52,Confirmed Fraud,13.34,Customer Report
ACB-RF0000149,ACB-TXN00037961,ACB-C014026,2026-03-29,Account Takeover,2982.06,False Positive,980.39,Customer Report
ACB-RF0000150,ACB-TXN00037972,ACB-C004653,2024-05-07,Synthetic Identity,33197.64,Confirmed Fraud,0.0,Customer Report
ACB-RF0000151,ACB-TXN00038348,ACB-C009490,2025-01-26,Synthetic Identity,21165.8,Under Review,0.0,Manual Review
ACB-RF0000152,ACB-TXN00038353,ACB-C011487,2024-11-20,Card Not Present,355.66,False Positive,0.0,Rules Engine
ACB-RF0000153,ACB-TXN00038574,ACB-C006493,2024-05-10,Money Laundering Suspicion,51.5,Under Review,21.01,Rules Engine
ACB-RF0000154,ACB-TXN00038658,ACB-C008858,2025-05-18,Account Takeover,71.12,Under Review,0.0,Manual Review
ACB-RF0000155,ACB-TXN00038762,ACB-C003570,2023-09-09,Account Takeover,3263.49,Under Review,0.0,Customer Report
ACB-RF0000156,ACB-TXN00039025,ACB-C014909,2023-09-23,Money Laundering Suspicion,334.33,Under Review,0.0,Rules Engine
ACB-RF0000157,ACB-TXN00039156,ACB-C005658,2024-03-15,Account Takeover,29987.56,Under Review,5512.79,ML Model
ACB-RF0000158,ACB-TXN00039249,ACB-C008532,2026-03-13,Identity Theft,6318.88,False Positive,0.0,Rules Engine
ACB-RF0000159,ACB-TXN00039276,ACB-C004856,2026-03-21,Identity Theft,1800.21,Confirmed Fraud,272.08,Rules Engine
ACB-RF0000160,ACB-TXN00039281,ACB-C005125,2023-03-02,Money Laundering Suspicion,101.91,False Positive,0.0,ML Model
ACB-RF0000161,ACB-TXN00039298,ACB-C005280,2025-08-16,Card Not Present,98.69,Confirmed Fraud,56.57,Rules Engine
ACB-RF0000162,ACB-TXN00039594,ACB-C012577,2024-04-26,Account Takeover,60.0,Confirmed Fraud,0.0,Rules Engine
ACB-RF0000163,ACB-TXN00040027,ACB-C004844,2023-06-12,Account Takeover,284.82,Confirmed Fraud,5.08,Customer Report
ACB-RF0000164,ACB-TXN00040424,ACB-C003547,2025-04-25,Card Not Present,72.16,Confirmed Fraud,0.0,Manual Review
ACB-RF0000165,ACB-TXN00040546,ACB-C006066,2025-05-17,Money Laundering Suspicion,1382.49,Confirmed Fraud,77.42,ML Model
ACB-RF0000166,ACB-TXN00040683,ACB-C004039,2023-04-30,Card Not Present,1786.85,Confirmed Fraud,0.0,Rules Engine
ACB-RF0000167,ACB-TXN00041137,ACB-C001348,2023-01-13,Transaction Velocity,1495.32,Pending,0.0,Rules Engine
ACB-RF0000168,ACB-TXN00041212,ACB-C001913,2025-09-11,Card Not Present,11254.72,Confirmed Fraud,3734.94,Rules Engine
ACB-RF0000169,ACB-TXN00041420,ACB-C009477,2024-01-29,Card Not Present,52.99,Confirmed Fraud,0.0,Rules Engine
ACB-RF0000170,ACB-TXN00042395,ACB-C001300,2025-05-21,Account Takeover,5010.12,Pending,3387.2,Manual Review
ACB-RF0000171,ACB-TXN00042627,ACB-C013013,2023-02-27,Synthetic Identity,284.1,Under Review,70.13,Rules Engine
ACB-RF0000172,ACB-TXN00042823,ACB-C008837,2023-01-01,Transaction Velocity,635.24,Under Review,0.0,Customer Report
ACB-RF0000173,ACB-TXN00043384,ACB-C014491,2023-07-22,Card Not Present,428.54,Confirmed Fraud,235.04,Rules Engine
ACB-RF0000174,ACB-TXN00043552,ACB-C014436,2025-06-29,Synthetic Identity,10151.22,Under Review,2701.0,Rules Engine
ACB-RF0000175,ACB-TXN00043724,ACB-C000735,2025-12-07,Synthetic Identity,20.22,Confirmed Fraud,19.07,Rules Engine
ACB-RF0000176,ACB-TXN00043785,ACB-C004282,2025-05-15,Account Takeover,231.71,Confirmed Fraud,0.0,ML Model
ACB-RF0000177,ACB-TXN00043800,ACB-C004100,2025-08-14,Transaction Velocity,11347.11,Under Review,10258.91,Customer Report
ACB-RF0000178,ACB-TXN00043931,ACB-C008310,2025-02-16,Unusual Geography,3582.88,Pending,0.0,Rules Engine
ACB-RF0000179,ACB-TXN00044925,ACB-C005697,2024-01-05,Account Takeover,103.12,Under Review,0.0,ML Model
ACB-RF0000180,ACB-TXN00044972,ACB-C006374,2024-03-22,Transaction Velocity,11091.13,Confirmed Fraud,0.0,Rules Engine
ACB-RF0000181,ACB-TXN00045347,ACB-C011642,2025-06-18,Card Not Present,1205.43,Under Review,0.0,ML Model
ACB-RF0000182,ACB-TXN00045396,ACB-C006215,2025-04-19,Synthetic Identity,12045.16,False Positive,0.0,ML Model
ACB-RF0000183,ACB-TXN00045677,ACB-C011036,2025-12-25,Identity Theft,130.16,Under Review,12.81,ML Model
ACB-RF0000184,ACB-TXN00045722,ACB-C012803,2026-01-26,Card Not Present,100725.84,Under Review,0.0,Rules Engine
ACB-RF0000185,ACB-TXN00045746,ACB-C010688,2025-07-26,Synthetic Identity,218.93,Under Review,0.0,ML Model
ACB-RF0000186,ACB-TXN00045807,ACB-C007495,2025-01-09,Account Takeover,78134.75,Pending,50415.7,Manual Review
ACB-RF0000187,ACB-TXN00046063,ACB-C003991,2024-10-29,Synthetic Identity,11934.14,Confirmed Fraud,1402.5,Rules Engine
ACB-RF0000188,ACB-TXN00046821,ACB-C003161,2025-02-26,Account Takeover,18.56,False Positive,0.0,Rules Engine
ACB-RF0000189,ACB-TXN00046920,ACB-C012972,2025-10-21,Card Not Present,185.23,False Positive,56.18,Customer Report
ACB-RF0000190,ACB-TXN00046994,ACB-C002569,2025-09-09,Account Takeover,147.58,Confirmed Fraud,0.0,Rules Engine
ACB-RF0000191,ACB-TXN00047216,ACB-C011018,2024-10-15,Unusual Geography,49716.58,False Positive,0.0,Rules Engine
ACB-RF0000192,ACB-TXN00047251,ACB-C007904,2024-06-22,Card Not Present,38999.67,Pending,0.0,Customer Report
ACB-RF0000193,ACB-TXN00047491,ACB-C007336,2023-09-25,Card Not Present,163.0,Confirmed Fraud,0.0,Manual Review
ACB-RF0000194,ACB-TXN00047903,ACB-C009110,2025-01-06,Card Not Present,12298.34,Confirmed Fraud,0.0,ML Model
ACB-RF0000195,ACB-TXN00048433,ACB-C014916,2025-07-09,Money Laundering Suspicion,11976.66,Confirmed Fraud,0.0,Manual Review
ACB-RF0000196,ACB-TXN00048920,ACB-C012268,2025-07-21,Synthetic Identity,72.9,Under Review,0.0,Manual Review
ACB-RF0000197,ACB-TXN00049005,ACB-C002917,2026-02-18,Identity Theft,21.6,False Positive,16.08,Rules Engine
ACB-RF0000198,ACB-TXN00049570,ACB-C007121,2023-05-14,Transaction Velocity,21941.61,Under Review,0.0,Rules Engine
ACB-RF0000199,ACB-TXN00050124,ACB-C003782,2025-11-10,Synthetic Identity,9039.15,Pending,0.0,Rules Engine
ACB-RF0000200,ACB-TXN00050306,ACB-C007753,2025-04-03,Account Takeover,54428.51,Confirmed Fraud,28072.56,Customer Report
ACB-RF0000201,ACB-TXN00050323,ACB-C000198,2024-04-07,Money Laundering Suspicion,117.23,Under Review,9.22,Customer Report
ACB-RF0000202,ACB-TXN00050407,ACB-C014907,2025-10-20,Card Not Present,175.28,Pending,0.0,ML Model
ACB-RF0000203,ACB-TXN00050602,ACB-C008557,2023-04-12,Card Not Present,26.21,Confirmed Fraud,0.0,Customer Report
ACB-RF0000204,ACB-TXN00051414,ACB-C011255,2023-05-02,Account Takeover,19333.75,Under Review,10397.46,Rules Engine
ACB-RF0000205,ACB-TXN00051666,ACB-C004439,2024-05-27,Money Laundering Suspicion,66.77,Under Review,0.0,Customer Report
ACB-RF0000206,ACB-TXN00051824,ACB-C003059,2023-04-25,Transaction Velocity,2185.06,Under Review,0.0,Rules Engine
ACB-RF0000207,ACB-TXN00052764,ACB-C002212,2025-07-12,Identity Theft,59915.25,Confirmed Fraud,19649.74,Rules Engine
ACB-RF0000208,ACB-TXN00053697,ACB-C009900,2025-12-15,Transaction Velocity,103.56,Confirmed Fraud,0.0,ML Model
ACB-RF0000209,ACB-TXN00054044,ACB-C002888,2023-02-25,Card Not Present,90.82,False Positive,0.0,ML Model
ACB-RF0000210,ACB-TXN00054097,ACB-C005833,2025-02-15,Money Laundering Suspicion,958.92,False Positive,0.0,ML Model
ACB-RF0000211,ACB-TXN00054116,ACB-C001352,2024-07-05,Card Not Present,223029.13,Under Review,194930.98,ML Model
