customer_id,cluster,cluster_label
ACB-C000164,0,Premium / Multi-Product
ACB-C000165,3,High Risk / Low Engagement
ACB-C000166,3,High Risk / Low Engagement
ACB-C000167,3,High Risk / Low Engagement
ACB-C000168,3,High Risk / Low Engagement
ACB-C000169,3,High Risk / Low Engagement
ACB-C000170,0,Premium / Multi-Product
ACB-C000171,1,Stable Core Customer
ACB-C000172,3,High Risk / Low Engagement
ACB-C000173,0,Premium / Multi-Product
ACB-C000174,1,Stable Core Customer
ACB-C000175,2,Developing / Building Credit
ACB-C000176,0,Premium / Multi-Product
ACB-C000177,0,Premium / Multi-Product
ACB-C000178,1,Stable Core Customer
ACB-C000179,0,Premium / Multi-Product
ACB-C000180,0,Premium / Multi-Product
ACB-C000181,0,Premium / Multi-Product
ACB-C000182,3,High Risk / Low Engagement
ACB-C000183,0,Premium / Multi-Product
ACB-C000184,0,Premium / Multi-Product
ACB-C000185,1,Stable Core Customer
ACB-C000186,0,Premium / Multi-Product
ACB-C000187,1,Stable Core Customer
ACB-C000188,0,Premium / Multi-Product
ACB-C000189,0,Premium / Multi-Product
ACB-C000190,0,Premium / Multi-Product
ACB-C000191,0,Premium / Multi-Product
ACB-C000192,0,Premium / Multi-Product
ACB-C000193,1,Stable Core Customer
ACB-C000194,3,High Risk / Low Engagement
ACB-C000195,1,Stable Core Customer
ACB-C000196,3,High Risk / Low Engagement
ACB-C000197,3,High Risk / Low Engagement
ACB-C000198,2,Developing / Building Credit
ACB-C000199,3,High Risk / Low Engagement
ACB-C000200,0,Premium / Multi-Product
ACB-C000201,3,High Risk / Low Engagement
ACB-C000202,1,Stable Core Customer
ACB-C000203,3,High Risk / Low Engagement
ACB-C000204,0,Premium / Multi-Product
ACB-C000205,3,High Risk / Low Engagement
ACB-C000206,1,Stable Core Customer
ACB-C000207,1,Stable Core Customer
ACB-C000208,3,High Risk / Low Engagement
ACB-C000209,0,Premium / Multi-Product
ACB-C000210,0,Premium / Multi-Product
ACB-C000211,3,High Risk / Low Engagement
ACB-C000212,0,Premium / Multi-Product
ACB-C000213,0,Premium / Multi-Product
ACB-C000214,3,High Risk / Low Engagement
ACB-C000215,1,Stable Core Customer
ACB-C000216,0,Premium / Multi-Product
ACB-C000217,0,Premium / Multi-Product
ACB-C000218,0,Premium / Multi-Product
ACB-C000219,0,Premium / Multi-Product
ACB-C000220,0,Premium / Multi-Product
ACB-C000221,1,Stable Core Customer
ACB-C000222,3,High Risk / Low Engagement
ACB-C000223,2,Developing / Building Credit
ACB-C000224,2,Developing / Building Credit
ACB-C000225,1,Stable Core Customer
ACB-C000226,0,Premium / Multi-Product
ACB-C000227,3,High Risk / Low Engagement
ACB-C000228,1,Stable Core Customer
ACB-C000229,3,High Risk / Low Engagement
ACB-C000230,0,Premium / Multi-Product
ACB-C000231,1,Stable Core Customer
ACB-C000232,0,Premium / Multi-Product
ACB-C000233,2,Developing / Building Credit
ACB-C000234,0,Premium / Multi-Product
ACB-C000235,1,Stable Core Customer
ACB-C000236,1,Stable Core Customer
ACB-C000237,3,High Risk / Low Engagement
ACB-C000238,0,Premium / Multi-Product
ACB-C000239,0,Premium / Multi-Product
ACB-C000240,0,Premium / Multi-Product
ACB-C000241,2,Developing / Building Credit
ACB-C000242,0,Premium / Multi-Product
ACB-C000243,3,High Risk / Low Engagement
ACB-C000244,2,Developing / Building Credit
ACB-C000245,3,High Risk / Low Engagement
ACB-C000246,3,High Risk / Low Engagement
ACB-C000247,3,High Risk / Low Engagement
ACB-C000248,0,Premium / Multi-Product
ACB-C000249,1,Stable Core Customer
ACB-C000250,3,High Risk / Low Engagement
ACB-C000251,1,Stable Core Customer
ACB-C000252,0,Premium / Multi-Product
ACB-C000253,3,High Risk / Low Engagement
ACB-C000254,1,Stable Core Customer
ACB-C000255,3,High Risk / Low Engagement
ACB-C000256,0,Premium / Multi-Product
ACB-C000257,3,High Risk / Low Engagement
ACB-C000258,0,Premium / Multi-Product
ACB-C000259,1,Stable Core Customer
ACB-C000260,3,High Risk / Low Engagement
ACB-C000261,0,Premium / Multi-Product
ACB-C000262,0,Premium / Multi-Product
ACB-C000263,3,High Risk / Low Engagement
ACB-C000264,0,Premium / Multi-Product
ACB-C000265,1,Stable Core Customer
ACB-C000266,1,Stable Core Customer
ACB-C000267,0,Premium / Multi-Product
ACB-C000268,0,Premium / Multi-Product
ACB-C000269,3,High Risk / Low Engagement
ACB-C000270,0,Premium / Multi-Product
ACB-C000271,0,Premium / Multi-Product
ACB-C000272,0,Premium / Multi-Product
ACB-C000273,0,Premium / Multi-Product
ACB-C000274,3,High Risk / Low Engagement
ACB-C000275,1,Stable Core Customer
ACB-C000276,3,High Risk / Low Engagement
ACB-C000277,1,Stable Core Customer
ACB-C000278,3,High Risk / Low Engagement
ACB-C000279,0,Premium / Multi-Product
ACB-C000280,2,Developing / Building Credit
ACB-C000281,1,Stable Core Customer
ACB-C000282,0,Premium / Multi-Product
ACB-C000283,2,Developing / Building Credit
ACB-C000284,0,Premium / Multi-Product
ACB-C000285,3,High Risk / Low Engagement
ACB-C000286,1,Stable Core Customer
ACB-C000287,0,Premium / Multi-Product
ACB-C000288,3,High Risk / Low Engagement
ACB-C000289,0,Premium / Multi-Product
ACB-C000290,2,Developing / Building Credit
ACB-C000291,1,Stable Core Customer
ACB-C000292,1,Stable Core Customer
ACB-C000293,0,Premium / Multi-Product
ACB-C000294,1,Stable Core Customer
ACB-C000295,3,High Risk / Low Engagement
ACB-C000296,3,High Risk / Low Engagement
ACB-C000297,2,Developing / Building Credit
ACB-C000298,3,High Risk / Low Engagement
ACB-C000299,0,Premium / Multi-Product
ACB-C000300,1,Stable Core Customer
ACB-C000301,3,High Risk / Low Engagement
ACB-C000302,1,Stable Core Customer
ACB-C000303,0,Premium / Multi-Product
ACB-C000304,1,Stable Core Customer
ACB-C000305,3,High Risk / Low Engagement
ACB-C000306,0,Premium / Multi-Product
ACB-C000307,1,Stable Core Customer
ACB-C000308,3,High Risk / Low Engagement
ACB-C000309,0,Premium / Multi-Product
ACB-C000310,0,Premium / Multi-Product
ACB-C000311,2,Developing / Building Credit
ACB-C000312,3,High Risk / Low Engagement
ACB-C000313,0,Premium / Multi-Product
ACB-C000314,0,Premium / Multi-Product
ACB-C000315,1,Stable Core Customer
ACB-C000316,0,Premium / Multi-Product
ACB-C000317,0,Premium / Multi-Product
ACB-C000318,0,Premium / Multi-Product
ACB-C000319,0,Premium / Multi-Product
ACB-C000320,3,High Risk / Low Engagement
ACB-C000321,0,Premium / Multi-Product
ACB-C000322,3,High Risk / Low Engagement
ACB-C000323,1,Stable Core Customer
ACB-C000324,2,Developing / Building Credit
ACB-C000325,0,Premium / Multi-Product
ACB-C000326,3,High Risk / Low Engagement
ACB-C000327,0,Premium / Multi-Product
ACB-C000328,3,High Risk / Low Engagement
ACB-C000329,2,Developing / Building Credit
ACB-C000330,0,Premium / Multi-Product
ACB-C000331,0,Premium / Multi-Product
ACB-C000332,0,Premium / Multi-Product
ACB-C000333,1,Stable Core Customer
ACB-C000334,0,Premium / Multi-Product
ACB-C000335,1,Stable Core Customer
ACB-C000336,0,Premium / Multi-Product
ACB-C000337,0,Premium / Multi-Product
ACB-C000338,1,Stable Core Customer
ACB-C000339,1,Stable Core Customer
ACB-C000340,1,Stable Core Customer
ACB-C000341,0,Premium / Multi-Product
ACB-C000342,3,High Risk / Low Engagement
ACB-C000343,1,Stable Core Customer
ACB-C000344,3,High Risk / Low Engagement
ACB-C000345,1,Stable Core Customer
ACB-C000346,0,Premium / Multi-Product
ACB-C000347,0,Premium / Multi-Product
ACB-C000348,0,Premium / Multi-Product
ACB-C000349,0,Premium / Multi-Product
ACB-C000350,0,Premium / Multi-Product
ACB-C000351,0,Premium / Multi-Product
ACB-C000352,3,High Risk / Low Engagement
ACB-C000353,1,Stable Core Customer
ACB-C000354,2,Developing / Building Credit
ACB-C000355,1,Stable Core Customer
ACB-C000356,3,High Risk / Low Engagement
ACB-C000357,1,Stable Core Customer
ACB-C000358,0,Premium / Multi-Product
ACB-C000359,3,High Risk / Low Engagement
ACB-C000360,0,Premium / Multi-Product
ACB-C000361,3,High Risk / Low Engagement
ACB-C000362,0,Premium / Multi-Product
ACB-C000363,1,Stable Core Customer
ACB-C000364,0,Premium / Multi-Product
ACB-C000365,0,Premium / Multi-Product
ACB-C000366,1,Stable Core Customer
ACB-C000367,0,Premium / Multi-Product
ACB-C000368,0,Premium / Multi-Product
ACB-C000369,1,Stable Core Customer
ACB-C000370,3,High Risk / Low Engagement
ACB-C000371,3,High Risk / Low Engagement
ACB-C000372,1,Stable Core Customer
ACB-C000373,3,High Risk / Low Engagement
ACB-C000374,1,Stable Core Customer
ACB-C000375,0,Premium / Multi-Product
ACB-C000376,0,Premium / Multi-Product
ACB-C000377,1,Stable Core Customer
ACB-C000378,3,High Risk / Low Engagement
ACB-C000379,0,Premium / Multi-Product
ACB-C000380,1,Stable Core Customer
ACB-C000381,0,Premium / Multi-Product
ACB-C000382,1,Stable Core Customer
ACB-C000383,3,High Risk / Low Engagement
ACB-C000384,3,High Risk / Low Engagement
ACB-C000385,0,Premium / Multi-Product
ACB-C000386,0,Premium / Multi-Product
ACB-C000387,1,Stable Core Customer
ACB-C000388,3,High Risk / Low Engagement
ACB-C000389,0,Premium / Multi-Product
ACB-C000390,3,High Risk / Low Engagement
ACB-C000391,1,Stable Core Customer
ACB-C000392,3,High Risk / Low Engagement
ACB-C000393,0,Premium / Multi-Product
ACB-C000394,1,Stable Core Customer
ACB-C000395,1,Stable Core Customer
ACB-C000396,3,High Risk / Low Engagement
ACB-C000397,1,Stable Core Customer
ACB-C000398,3,High Risk / Low Engagement
ACB-C000399,1,Stable Core Customer
ACB-C000400,3,High Risk / Low Engagement
ACB-C000401,3,High Risk / Low Engagement
ACB-C000402,3,High Risk / Low Engagement
ACB-C000403,0,Premium / Multi-Product
ACB-C000404,0,Premium / Multi-Product
ACB-C000405,3,High Risk / Low Engagement
ACB-C000406,1,Stable Core Customer
ACB-C000407,0,Premium / Multi-Product
ACB-C000408,0,Premium / Multi-Product
ACB-C000409,1,Stable Core Customer
ACB-C000410,0,Premium / Multi-Product
ACB-C000411,1,Stable Core Customer
ACB-C000412,0,Premium / Multi-Product
ACB-C000413,3,High Risk / Low Engagement
ACB-C000414,3,High Risk / Low Engagement
ACB-C000415,0,Premium / Multi-Product
ACB-C000416,1,Stable Core Customer
ACB-C000417,1,Stable Core Customer
ACB-C000418,3,High Risk / Low Engagement
ACB-C000419,1,Stable Core Customer
ACB-C000420,1,Stable Core Customer
ACB-C000421,3,High Risk / Low Engagement
ACB-C000422,1,Stable Core Customer
ACB-C000423,1,Stable Core Customer
ACB-C000424,3,High Risk / Low Engagement
ACB-C000425,3,High Risk / Low Engagement
ACB-C000426,1,Stable Core Customer
ACB-C000427,3,High Risk / Low Engagement
ACB-C000428,3,High Risk / Low Engagement
ACB-C000429,0,Premium / Multi-Product
ACB-C000430,0,Premium / Multi-Product
ACB-C000431,1,Stable Core Customer
ACB-C000432,3,High Risk / Low Engagement
ACB-C000433,0,Premium / Multi-Product
ACB-C000434,1,Stable Core Customer
ACB-C000435,3,High Risk / Low Engagement
ACB-C000436,3,High Risk / Low Engagement
ACB-C000437,0,Premium / Multi-Product
ACB-C000438,3,High Risk / Low Engagement
ACB-C000439,0,Premium / Multi-Product
ACB-C000440,0,Premium / Multi-Product
ACB-C000441,0,Premium / Multi-Product
ACB-C000442,3,High Risk / Low Engagement
ACB-C000443,0,Premium / Multi-Product
ACB-C000444,1,Stable Core Customer
ACB-C000445,0,Premium / Multi-Product
ACB-C000446,3,High Risk / Low Engagement
ACB-C000447,1,Stable Core Customer
ACB-C000448,1,Stable Core Customer
ACB-C000449,0,Premium / Multi-Product
ACB-C000450,0,Premium / Multi-Product
ACB-C000451,3,High Risk / Low Engagement
ACB-C000452,3,High Risk / Low Engagement
ACB-C000453,2,Developing / Building Credit
ACB-C000454,3,High Risk / Low Engagement
ACB-C000455,1,Stable Core Customer
ACB-C000456,1,Stable Core Customer
ACB-C000457,0,Premium / Multi-Product
ACB-C000458,0,Premium / Multi-Product
ACB-C000459,3,High Risk / Low Engagement
ACB-C000460,3,High Risk / Low Engagement
ACB-C000461,1,Stable Core Customer
ACB-C000462,0,Premium / Multi-Product
ACB-C000463,1,Stable Core Customer
ACB-C000464,1,Stable Core Customer
ACB-C000465,1,Stable Core Customer
ACB-C000466,1,Stable Core Customer
ACB-C000467,0,Premium / Multi-Product
ACB-C000468,1,Stable Core Customer
ACB-C000469,0,Premium / Multi-Product
ACB-C000470,3,High Risk / Low Engagement
ACB-C000471,3,High Risk / Low Engagement
ACB-C000472,0,Premium / Multi-Product
ACB-C000473,0,Premium / Multi-Product
ACB-C000474,1,Stable Core Customer
ACB-C000475,0,Premium / Multi-Product
ACB-C000476,3,High Risk / Low Engagement
ACB-C000477,3,High Risk / Low Engagement
ACB-C000478,0,Premium / Multi-Product
ACB-C000479,2,Developing / Building Credit
ACB-C000480,3,High Risk / Low Engagement
ACB-C000481,3,High Risk / Low Engagement
ACB-C000482,1,Stable Core Customer
ACB-C000483,3,High Risk / Low Engagement
ACB-C000484,3,High Risk / Low Engagement
ACB-C000485,0,Premium / Multi-Product
ACB-C000486,2,Developing / Building Credit
ACB-C000487,1,Stable Core Customer
ACB-C000488,0,Premium / Multi-Product
ACB-C000489,1,Stable Core Customer
ACB-C000490,0,Premium / Multi-Product
ACB-C000491,0,Premium / Multi-Product
ACB-C000492,1,Stable Core Customer
ACB-C000493,2,Developing / Building Credit
ACB-C000494,3,High Risk / Low Engagement
ACB-C000495,0,Premium / Multi-Product
ACB-C000496,0,Premium / Multi-Product
ACB-C000497,3,High Risk / Low Engagement
ACB-C000498,1,Stable Core Customer
ACB-C000499,0,Premium / Multi-Product
ACB-C000500,0,Premium / Multi-Product
ACB-C000501,2,Developing / Building Credit
ACB-C000502,1,Stable Core Customer
ACB-C000503,1,Stable Core Customer
ACB-C000504,3,High Risk / Low Engagement
ACB-C000505,0,Premium / Multi-Product
ACB-C000506,0,Premium / Multi-Product
ACB-C000507,0,Premium / Multi-Product
ACB-C000508,0,Premium / Multi-Product
ACB-C000509,0,Premium / Multi-Product
ACB-C000510,1,Stable Core Customer
ACB-C000511,0,Premium / Multi-Product
ACB-C000512,0,Premium / Multi-Product
ACB-C000513,0,Premium / Multi-Product
ACB-C000514,0,Premium / Multi-Product
ACB-C000515,0,Premium / Multi-Product
ACB-C000516,0,Premium / Multi-Product
ACB-C000517,0,Premium / Multi-Product
ACB-C000518,3,High Risk / Low Engagement
ACB-C000519,0,Premium / Multi-Product
ACB-C000520,0,Premium / Multi-Product
ACB-C000521,0,Premium / Multi-Product
ACB-C000522,2,Developing / Building Credit
ACB-C000523,0,Premium / Multi-Product
ACB-C000524,0,Premium / Multi-Product
ACB-C000525,0,Premium / Multi-Product
ACB-C000526,0,Premium / Multi-Product
ACB-C000527,0,Premium / Multi-Product
ACB-C000528,0,Premium / Multi-Product
ACB-C000529,1,Stable Core Customer
ACB-C000530,0,Premium / Multi-Product
ACB-C000531,0,Premium / Multi-Product
ACB-C000532,0,Premium / Multi-Product
ACB-C000533,0,Premium / Multi-Product
ACB-C000534,3,High Risk / Low Engagement
ACB-C000535,3,High Risk / Low Engagement
ACB-C000536,1,Stable Core Customer
ACB-C000537,1,Stable Core Customer
ACB-C000538,0,Premium / Multi-Product
ACB-C000539,1,Stable Core Customer
ACB-C000540,0,Premium / Multi-Product
ACB-C000541,3,High Risk / Low Engagement
ACB-C000542,1,Stable Core Customer
ACB-C000543,3,High Risk / Low Engagement
ACB-C000544,0,Premium / Multi-Product
ACB-C000545,3,High Risk / Low Engagement
ACB-C000546,0,Premium / Multi-Product
ACB-C000547,0,Premium / Multi-Product
ACB-C000548,3,High Risk / Low Engagement
ACB-C000549,0,Premium / Multi-Product
ACB-C000550,2,Developing / Building Credit
ACB-C000551,0,Premium / Multi-Product
ACB-C000552,3,High Risk / Low Engagement
ACB-C000553,1,Stable Core Customer
ACB-C000554,1,Stable Core Customer
ACB-C000555,1,Stable Core Customer
ACB-C000556,2,Developing / Building Credit
ACB-C000557,3,High Risk / Low Engagement
ACB-C000558,2,Developing / Building Credit
ACB-C000559,1,Stable Core Customer
ACB-C000560,2,Developing / Building Credit
ACB-C000561,0,Premium / Multi-Product
ACB-C000562,0,Premium / Multi-Product
ACB-C000563,1,Stable Core Customer
ACB-C000564,3,High Risk / Low Engagement
ACB-C000565,0,Premium / Multi-Product
ACB-C000566,0,Premium / Multi-Product
ACB-C000567,3,High Risk / Low Engagement
ACB-C000568,1,Stable Core Customer
ACB-C000569,0,Premium / Multi-Product
ACB-C000570,0,Premium / Multi-Product
ACB-C000571,0,Premium / Multi-Product
ACB-C000572,3,High Risk / Low Engagement
ACB-C000573,0,Premium / Multi-Product
ACB-C000574,0,Premium / Multi-Product
ACB-C000575,1,Stable Core Customer
ACB-C000576,3,High Risk / Low Engagement
ACB-C000577,1,Stable Core Customer
ACB-C000578,1,Stable Core Customer
ACB-C000579,3,High Risk / Low Engagement
ACB-C000580,0,Premium / Multi-Product
ACB-C000581,1,Stable Core Customer
ACB-C000582,3,High Risk / Low Engagement
ACB-C000583,0,Premium / Multi-Product
ACB-C000584,3,High Risk / Low Engagement
ACB-C000585,3,High Risk / Low Engagement
ACB-C000586,0,Premium / Multi-Product
ACB-C000587,0,Premium / Multi-Product
ACB-C000588,0,Premium / Multi-Product
ACB-C000589,3,High Risk / Low Engagement
ACB-C000590,3,High Risk / Low Engagement
ACB-C000591,0,Premium / Multi-Product
ACB-C000592,0,Premium / Multi-Product
ACB-C000593,0,Premium / Multi-Product
ACB-C000594,3,High Risk / Low Engagement
ACB-C000595,1,Stable Core Customer
ACB-C000596,0,Premium / Multi-Product
ACB-C000597,0,Premium / Multi-Product
ACB-C000598,3,High Risk / Low Engagement
ACB-C000599,0,Premium / Multi-Product
ACB-C000600,0,Premium / Multi-Product
ACB-C000601,0,Premium / Multi-Product
ACB-C000602,2,Developing / Building Credit
ACB-C000603,3,High Risk / Low Engagement
ACB-C000604,0,Premium / Multi-Product
ACB-C000605,0,Premium / Multi-Product
ACB-C000606,0,Premium / Multi-Product
ACB-C000607,3,High Risk / Low Engagement
ACB-C000608,3,High Risk / Low Engagement
ACB-C000609,1,Stable Core Customer
ACB-C000610,0,Premium / Multi-Product
ACB-C000611,3,High Risk / Low Engagement
ACB-C000612,0,Premium / Multi-Product
ACB-C000613,1,Stable Core Customer
ACB-C000614,3,High Risk / Low Engagement
ACB-C000615,3,High Risk / Low Engagement
ACB-C000616,1,Stable Core Customer
ACB-C000617,0,Premium / Multi-Product
ACB-C000618,0,Premium / Multi-Product
ACB-C000619,2,Developing / Building Credit
ACB-C000620,0,Premium / Multi-Product
ACB-C000621,1,Stable Core Customer
ACB-C000622,1,Stable Core Customer
ACB-C000623,3,High Risk / Low Engagement
ACB-C000624,0,Premium / Multi-Product
ACB-C000625,3,High Risk / Low Engagement
ACB-C000626,3,High Risk / Low Engagement
ACB-C000627,3,High Risk / Low Engagement
ACB-C000628,0,Premium / Multi-Product
ACB-C000629,3,High Risk / Low Engagement
ACB-C000630,0,Premium / Multi-Product
ACB-C000631,3,High Risk / Low Engagement
ACB-C000632,3,High Risk / Low Engagement
ACB-C000633,2,Developing / Building Credit
ACB-C000634,1,Stable Core Customer
ACB-C000635,1,Stable Core Customer
ACB-C000636,3,High Risk / Low Engagement
ACB-C000637,1,Stable Core Customer
ACB-C000638,1,Stable Core Customer
ACB-C000639,0,Premium / Multi-Product
ACB-C000640,1,Stable Core Customer
ACB-C000641,3,High Risk / Low Engagement
ACB-C000642,1,Stable Core Customer
ACB-C000643,2,Developing / Building Credit
ACB-C000644,0,Premium / Multi-Product
ACB-C000645,0,Premium / Multi-Product
ACB-C000646,0,Premium / Multi-Product
ACB-C000647,1,Stable Core Customer
ACB-C000648,0,Premium / Multi-Product
ACB-C000649,1,Stable Core Customer
ACB-C000650,0,Premium / Multi-Product
ACB-C000651,0,Premium / Multi-Product
ACB-C000652,1,Stable Core Customer
ACB-C000653,1,Stable Core Customer
ACB-C000654,0,Premium / Multi-Product
ACB-C000655,0,Premium / Multi-Product
ACB-C000656,0,Premium / Multi-Product
ACB-C000657,0,Premium / Multi-Product
ACB-C000658,2,Developing / Building Credit
ACB-C000659,3,High Risk / Low Engagement
ACB-C000660,0,Premium / Multi-Product
ACB-C000661,3,High Risk / Low Engagement
ACB-C000662,1,Stable Core Customer
ACB-C000663,3,High Risk / Low Engagement
ACB-C000664,3,High Risk / Low Engagement
ACB-C000665,3,High Risk / Low Engagement
ACB-C000666,3,High Risk / Low Engagement
ACB-C000667,0,Premium / Multi-Product
ACB-C000668,0,Premium / Multi-Product
ACB-C000669,0,Premium / Multi-Product
ACB-C000670,0,Premium / Multi-Product
ACB-C000671,0,Premium / Multi-Product
ACB-C000672,1,Stable Core Customer
ACB-C000673,0,Premium / Multi-Product
ACB-C000674,0,Premium / Multi-Product
